	road_name
222	Route des Acacias 5-9
223	Rue de Chantepoulet 8-12
224	Rue de Contamines 35-27
225	Rue de Villereuse 2
226	Chemin des Rayes
227	Rue Gilbert
228	E62
229	Rue Prévost-Martin 61-41
230	Route de Vernier 137
231	Rue du Grand-Pré 61-51
232	Route de Malagnou
233	Route des Franchises 10-12
234	Route de Florissant 63
235	Rue Emile-Yung 4-10
236	Rue du Trabli 64
237	Unnamed Road
238	Rue Lect
239	Avenue du Devin-du-Village 7-1
240	Rue des Alpes
241	Saint-Jean - Charmilles
242	Chemin Frank-Thomas 90-104
243	Boulevard de la Cluse 41-35
244	Route de Meyrin
245	Route des Fayards
246	Pâquis-Nations
247	Boulevard des Promenades 25
248	Chemin de la Gradelle 70
249	Quai du Général-Guisan 10-12
250	Rue Merle-d'Aubigné 22-26
251	Route de Drize 3-1
252	Satigny
253	Rue du Mont-Blanc 7
254	Rue Ferdinand-Hodler
255	Quai du Mont-Blanc
256	Avenue de Thônex 35
257	Rue des Alpes
258	Rue de la Madeleine
259	Chemin Gérard-De-Ternier 18
260	E62
261	Tunnel de Vernier
262	Rue Le-Corbusier 19
263	Route du Bois-des-Frères 17
264	Rue de Fribourg 2-16
265	Chemin des Carpières 9
266	Rue Terreaux-du-Temple 8-10
267	Boulevard des Tranchées 35
268	E62
269	E62
270	Chemin de la Chevillarde 16
271	Rue de Monthoux 39-31
272	Chemin des Verjus 26-36
273	Passage de la Radio
274	Rue de la Terrassière 24-28
275	Chemin de Beau-Soleil
276	Tranchée Couverte de Chèvres
277	Chemin des Mésanges 2
278	Satigny
279	Rue du Vieux-Moulin 3
280	Quai du Mont-Blanc 13
281	Rue de la Cloche
282	Route de Chêne
283	Avenue de France 17
284	Chemin du Pont-du-Centenaire 114-134
285	Boulevard Emile-Jaques-Dalcroze
286	Route du Bout-du-Monde 10-18
287	Rue du Valais 7-3
288	Rue du Levant 3
289	Avenue de Mategnin
290	Route du Grand-Lancy
291	E62
292	Avenue Ernest-Pictet
293	Rue du Jura 7-1
294	Rue des Epinettes
295	Rue du Vidollet 45-31
296	Rue Pierre-Fatio 1
297	Place du Lignon 6
298	Route de Frontenex 60
299	Route de Chancy
300	Chemin de Ruth 40-86
301	Route d'Hermance 293-287
302	Avenue Louis-Rendu
303	Rue Jean-Daniel-Colladon 3
304	Route de Meyrin
305	Route de la Capite 38-46
306	Chemin de Grange-Falquet 15-5
307	Rue du Dauphiné 12-18
308	Rue Jacques-Dalphin 13-11
309	Route de Loëx
310	Route du Val-d'Arve
311	Rue de Fribourg 2-16
312	Place Simon-Goulart 2-4
313	Avenue Henri-Dunant
314	E62
315	Boulevard Emile-Jaques-Dalcroze 13-11
316	Rue Boissonnas
317	Grottes - Saint-Gervais
318	Rue Guye
319	Ch. Jacques-Philibert-de-Sauvage 40-42
320	Avenue Pictet-de-Rochemont 26-30
321	Boulevard James-Fazy
322	Route de Chancy
323	Chemin de Ternier
324	Route de la Gare-de-Satigny 31-29
325	Rue Rothschild 40-50
326	Rue Pécolat 1
327	A1a
328	Rue du Valais
329	Route du Nant-d'Avril 67-49
330	Rue Prévost-Martin 61-41
331	Route de Meyrin
332	Avenue d'Aïre
333	Rue de Genève 75-67
334	Avenue Wendt
335	Pâquis-Nations
336	Route des Fayards 60
337	Carrefour du Bouchet 2-4
338	Route de Meyrin
339	Avenue de France
340	Route des Acacias 28-22
341	Route de Thonon
342	Avenue du Lignon 46-60
343	Rue Hoffmann 4-10
344	E62
345	Avenue de Sainte-Clotilde 18-22
346	Rue Pierre-Fatio 9-3
347	E62
348	Route du Pont-de-la-Fin 12-10
349	Route du Pont Butin
350	Chemin de Carabot
351	Route de Lausanne 330
352	Rue Ancienne 32-74
353	Place de Montbrillant 2
354	E62
355	Route de Vernier 137
356	Unnamed Road
357	Route de Rougemont 78-70
358	Route de Sous-Moulin 39
359	Boulevard Georges-Favon 21
360	Unnamed Road
361	Avenue de l'Amandolier 27-19
362	Tunnel de Vernier
363	Avenue de Champel 23-41
364	Rue de l'Avenir 19-5
365	Chemin du Fief-de-Chapitre 13-11
366	Route du Stand-de-Veyrier
367	Rue de Sous-Terre
368	E62
369	Chemin du Pont-du-Centenaire
370	Tunnel de Confignon
371	A1a
372	Route de Chancy 100
373	Avenue du Lignon
374	Avenue Appia
375	Place Albert-Thomas
376	Avenue des Communes-Réunies 5-1
377	Quai Gustave-Ador
378	:ERROR STATUS: NOT_FOUND
379	Avenue de Champel 51-71
380	Place des Cinq-Continents
381	Unnamed Road
382	Rue de la Rôtisserie
383	Route d'Ambilly 37-27
384	Rue des Glacis-de-Rive 12-14
385	Rue de la Servette 93-91
386	Avenue du Gros-Chêne 27-25
387	Rue des Lattes 60-62
388	E62
389	Route de Basselat 16
390	Rue Caroline 40-44
391	Rue Cingria 4-10
392	Route de Lausanne 314-318
393	Route de Saint-Julien 113
394	Rue de la Servette 25-11
395	Avenue du Mail 8-10
396	Rue Ferrier 2-12
397	Satigny
398	Rue de la Fontenette 6-8
399	Rue des Entreprises
400	Chemin Terroux
401	Route des Acacias 60-48
402	Grottes - Saint-Gervais
403	Route de Meyrin 5
404	Rue du Mont-Blanc 7
405	Avenue Jacob-Daniel-Maillard
406	Route des Acacias 20
407	Chemin Subilia
408	Route de Chancy 137-135
409	Avenue de Gennecy 15-1
410	Avenue du Lignon 84-64
411	A1a
412	:ERROR STATUS: NOT_FOUND
413	Pâquis-Nations
414	Quai de Cologny
415	Route de Vernier
416	A1
417	Rue François-Versonnex 5-3
418	Route du Nant-d'Avril 11
419	Rue de la Coulouvrenière 8-16
420	Route de Malagnou 66
421	Route des Ravières 3-1
422	Rue de Genève 113-103
423	Route d'Annecy 239-201
424	Rue de Zurich 47-43
425	Boulevard Emile-Jaques-Dalcroze 7-5
426	Rue de Lyon 32-42
427	Route de Frontenex 65-63
