	road_name
230	Route de Veyrier 174-176
231	Pâquis-Nations
232	Chemin de la Montagne 56-58
233	Boulevard Georges-Favon 29
234	Pont du Mont-Blanc
235	E62
236	Chemin du Petit-Saconnex 28-32
237	Rue Ami-Lévrier 7-1
238	Rue des Allobroges 16
239	Avenue de l'Amandolier 27-19
240	Avenue Trembley 15-13
241	Pâquis-Nations
242	Boulevard de la Cluse 30-38
243	Route de Saint-Julien
244	Avenue Louis-Rendu
245	Avenue Théodore-Vernes 18-14
246	Route de Pregny 59-57
247	Route de l'Etraz
248	Avenue de Miremont 17-9
249	Route de Chancy 150-156
250	Chemin de la Milice
251	Rue Terreaux-du-Temple 2-4
252	Tunnel de Confignon
253	Route du Nant-d'Avril
254	Route d'Hermance 347-339
255	Pont du Mont-Blanc
256	Rue des Alpes 12
257	Boulevard Carl-Vogt 29-19
258	Rue de Fribourg 2-16
259	Place de Cornavin 10-22
260	Boulevard du Pont-d'Arve 19-9
261	Rue des Glacis-de-Rive
262	Rue de la Dôle 5-3
263	Pont du Mont-Blanc
264	Quai Gustave-Ador
265	Boulevard de la Tour 14
266	Rue Pradier 11
267	Rue du Rhône 65-63
268	E62
269	Pâquis-Nations
270	E62
271	Unnamed Road
272	Avenue Choiseul 11-1
273	Chemin de l'Erse
274	Avenue De-Budé 17-1
275	Route de Chêne 106-108
276	Quai Ernest-Ansermet 36-42
277	Unnamed Road
278	Rue de Genève 6-50
279	Rue Simon-Durand 2-10
280	Unnamed Road
281	E62
282	Avenue Bois-de-la-Chapelle
283	Rue du Vidollet 27
284	Route du Val-d'Arve
285	Rue Philippe-Plantamour 6-14
286	Chemin Moïse-Duboule 29
287	Route de Chancy 59-57
288	Route de Vallière
289	Rue de Saint-Jean
290	Chemin du Pont-du-Centenaire
291	Chemin Adrien-Stoessel
292	Rue des Charmilles 3
293	Pont du Mont-Blanc
294	A1a
295	Route de Saint-Julien 117-115
296	La Voie-de-Moëns
297	Rue du Vélodrome
298	Rue des Deux-Ponts 2-4
299	Rue du Rhône 65-63
300	Unnamed Road
301	Route de Lausanne 290-296
302	Rue de Bernex
303	Avenue François-Besson 2-12
304	Route de Saint-Julien 23-7
305	Route de Saint-Loup
306	Unnamed Road
307	Centre-Plainpalais-Acacias
308	Chemin de Pinchat
309	Pont de la Rue-de-la-Servette
310	Pâquis-Nations
311	:ERROR STATUS: NOT_FOUND
312	Avenue de Feuillasse
313	Avenue des Libellules 8-16
314	Rue de la Synagogue 34
315	Pregny-Chambésy
316	Rue du Temple
317	Quai Wald-Wilson
318	Route de Vernier
319	Rue de Graman 101
320	Quai du Général-Guisan 30-32
321	Avenue du Mail 8-10
322	Rue de Berne 30-34
323	Route du Nant-d'Avril
324	Tunnel de Vernier
325	Chemin des Pontets
326	Rue de Lyon 46-48
327	Quai du Général-Guisan 34
328	Avenue Bois-de-la-Chapelle 35-15
329	Rue de la Mairie 5
330	Route de Meyrin
331	Quai Ernest-Ansermet
332	Chemin des Coquelicots 16
333	Rue de la Servette 11-7
334	Rue de Chêne-Bougeries 38-42
335	Boulevard Georges-Favon 21
336	Chemin de la Chênaie 15-11
337	E62
338	Rue des Vollandes 75-69
339	Rue du Stand 60-62
340	Route de Chancy 360
341	Quai de Cologny
342	Chemin de la Greube
343	Boulevard des Tranchées 35
344	Route de Veyrier 37-33
345	Rue Vautier 45-29
346	Unnamed Road
