	road_name
226	Rue Tronchin 2-10
227	Chemin Delay 19-5
228	Rue Terreaux-du-Temple 4-6
229	Place Émile Guyénot
230	Rue Rousseau 12
231	:ERROR STATUS: NOT_FOUND
232	E62
233	Rue Cavour 9-1
234	Boulevard des Philosophes
235	Boulevard Emile-Jaques-Dalcroze 13-11
236	Avenue des Amazones 25
237	Route de Frontenex
238	Rue de Sous-Terre
239	A1a
240	Rue de l'Ancien-Port 2-8
241	Rue Merle-d'Aubigné 14
242	Route du Mandement
243	Place des Cinq-Continents
244	Route de Meyrin
245	Route de Lausanne 314-318
246	Route de l'Aéroport
247	Boulevard Emile-Jaques-Dalcroze
248	Rue Frank-Martin
249	Rue de Carouge 65-57
250	Rue du Stand 15-5
251	Avenue de Thônex 65
252	Rue Bautte
253	1
254	Chemin de la Grande Coudre
255	Rue du Collège 19-13
256	Rue Muzy
257	Route de Chancy
258	Route de Saint-Georges 76-82
259	Route de Chêne 78-80
260	Avenue de Crozet
261	Route de Malagny 11-1
262	Avenue de la Grenade 16-26
263	Chemin Rieu
264	Avenue de Baptista
265	Avenue de la Roseraie
266	Chemin Tricouni 2-20
267	Rue des Entreprises
268	Grottes - Saint-Gervais
269	Chemin des Deux-Communes
270	Rue du 31 Décembre 38
271	Rlle du Midi 5-3
272	Rampe de la Treille 5-3
273	Rue de Moillebeau 53-45
274	Boulevard Helvétique 30-34
275	A1a
276	E62
277	Chemin du Champ-d'Anier
278	Rue Peillonnex 2-12
279	Boulevard Emile-Jaques-Dalcroze
280	Quai Gustave-Ador
281	Chemin des Esserts
282	Rue Fendt 11
283	Rue de l'Ancien-Port 2-8
284	Unnamed Road
285	Chemin de Montfleury
286	:ERROR STATUS: NOT_FOUND
287	Route de Saint-Georges 53-51
288	Route de Saint-Georges
289	Rue Pierre-Fatio
290	:ERROR STATUS: NOT_FOUND
291	Route du Vélodrome 41-35
292	Rue de Lyon 73-69
293	Rue des Cornettes-de-Bise
294	Rue Voltaire 12-18
295	:ERROR STATUS: NOT_FOUND
296	Avenue des Communes-Réunies
297	Route du Nant-d'Avril 67-49
298	Route de Mon-Idée 165-151
299	Unnamed Road
300	Route de Ferney 175-173
301	Route de Pré-Bois
302	Rue Voltaire 3
303	Pont du Mont-Blanc
304	Place de Cornavin 7
305	Rue Pellegrino-Rossi
306	Rue des Pâquis 27-21
307	Boulevard de la Cluse 5-1
308	Céligny
309	Avenue du Curé Baud
310	Route de Vernier
311	Route de Monniaz
312	Route d'Hermance 29-25
313	Avenue de Mategnin
314	Rue des Alpes 20
315	Avenue de Bel-Air 19-17
316	Quai du Général-Guisan 40-42
317	Place des Eaux-Vives 13-11
318	Avenue de la Roseraie 47
319	La Vy-la-Tour
320	Rue Chaponnière 4-14
321	Route de Thonon 276-278
322	Route de Meyrin 323
323	Route de Chêne 124-132
324	Route de Chancy
325	Route de Meyrin
326	Route du Grand-Lancy
327	Route de Saint-Julien 270-278
328	Route de Meyrin 9
329	Route du Mandement 137-129
330	Rue de Lyon 32-42
331	Rue de Genève 2-4
332	Route d'Hermance 181
333	E62
334	Route de Ferney 180-165
335	Avenue Edmond-Vaucher 53
336	Boulevard Helvétique
337	Quai Gustave-Ador 63
338	Boulevard Helvétique
339	Rue Pierre-Fatio 1
340	Route de Vernier
341	Avenue des Amazones 25
342	Pâquis-Nations
343	Route de Meyrin 5
344	Route du Val-d'Arve
345	Route du Nant-d'Avril 22
346	Route de Meyrin
347	Rue François-Ruchon 3
348	Rue Simon-Durand 2-10
349	Avenue Eugène Lance
350	Rue Hans Wilsdorf 4-1
351	Tranchée Couverte d'Arare
352	Rue Schaub 13-3
353	Chemin des Pléiades 5-7
354	Tunnel de Vernier
355	Route de Malagnou 16-10
356	Rue du Vieux-Moulin 2
357	Rue Jean-François Bartholoni 10
358	Pont du Mont-Blanc
359	Boulevard Georges-Favon 45-37
360	Pâquis-Nations
361	Route de Saconnex d'Arve
362	Route de Frontenex 54-56
363	Route de Saconnex-d'Arve 59
364	Route de Suisse 106
365	Rue de Berne 50-54
366	Rue des Alpes
367	Avenue du Mail 2
368	Avenue de l'Ariana
369	Place de Cornavin 7
370	Route de Chêne
371	:ERROR STATUS: NOT_FOUND
372	Chemin du Champ-d'Anier 14
373	Place du Lac 2
374	Route de la Galaise 18
375	Chemin des Pontets
376	Boulevard James-Fazy 3
377	Route d'Aïre 177
378	Place de Jargonnant
379	Route de Meyrin
380	Boulevard Carl-Vogt 91-83
381	Rue du Fort-Barreau 19-13
382	Route de Florissant 59-53
383	Boulevard des Promenades 25
384	Rue du Général-Dufour 1
385	Route du Nant-d'Avril
386	Route de Thonon 349-345
387	Quai de Cologny
388	Pont du Mont-Blanc
389	Route de Lausanne 314-318
