	index	ID_ACCIDENT	DATE_	GROUPE_ACCIDENT	COMMUNE	CONDITIONS_LUMINEUSES	CONDITIONS_METEO	CONSEQUENCES	COOR_X	COOR_Y	ETAT_ROUTE	GENRE_ROUTE	HEURE	JOUR	LOCALITE	NB_ENFANTS_IMPLIQUES	NB_ENFANTS_ECOLE	NB_BLESSES_LEGERS	NB_BLESSES_GRAVES	NB_TUES	NB_PIETONS	NB_BICYCLETTES	NB_VAE_25	NB_VAE_45	NB_CYCLOMOTEURS	NB_MOTOS_50	NB_MOTOS_125	NB_MOTOS_11KW	NB_VOITURES_TOURISME	NB_VOITURES_LIVRAISON	NB_CAMIONS	NB_BUS	NB_TRAM	E	N	YEAR	MONTH	DAY	CAUSE_g	CAUSE_sg	location.latitude	location.longitude	placeId	road_name
2063	12324	1554646.0	2015-01-30	Accident impliquant des piétons	Conches	Nuit	Chute de neige	Avec blessés légers	6.174434284870845	46.19966152108072	Neige fondante	Route principale	1899-12-30 17:00:00	Vendredi	Non renseigné	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2502418.0	1117255.0	2015	1	30	Engins assimilés à des véhicules (EAV)	Traversée imprudente de la route (pas à l'allure d'un homme au pas)	46.199700755588324	6.1744480425680015	ChIJGaTHDVJljEcRQDLMtoMWBjM	Route de Chêne 65
2064	12325	1554940.0	2015-01-31	Dérapage ou perte de maîtrise	Meinier	Jour	Beau	Autres	6.223499991968776	46.244914242600345	Sèche	Route secondaire	1899-12-30 15:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2506283.0	1122225.0	2015	1	31	Inattention et distraction	Manque d'attention momentané	46.24490963019805	6.223495584907299	ChIJH6L4ZxFvjEcRoEAfRWKZYg4	Route de Compois 24-30
2065	12326	1543520.0	2015-01-01	Dérapage ou perte de maîtrise	Petit-Lancy	Jour	Beau	Autres	6.12265057175227	46.18665366199465	Sèche	Route principale	1899-12-30 10:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2498397.0	1115875.0	2015	1	1	Etat / intention du conducteur	Influence de l'alcool	46.186634338323	6.1227430943620575	ChIJr2lBrjt7jEcR4kKEOidIz8M	Route du Grand-Lancy 31-29
2066	12327	1574132.0	2015-03-20	Accident en s'engageant sur une route	Vernier	Jour	Beau	Avec blessés légers	6.1085611496194865	46.21139179496323	Sèche	Route principale	1899-12-30 12:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2497356.0	1118643.0	2015	3	20	Refus d'accorder la priorité	Priorité au démarrage du bord de la route	46.21138722325554	6.108560368182827	ChIJx8yxKaVkjEcRDDzxuWizWtM	Route de Vernier 92-94
2067	12328	1570934.0	2015-03-13	Accident par tamponnement	Vernier	Jour	Beau	Avec blessés légers	6.106470221828277	46.21950932969785	Sèche	Route secondaire	1899-12-30 09:00:00	Vendredi	A l'extérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2497210.0	1119548.0	2015	3	13	Inattention et distraction	Manque d'attention momentané	46.21943972636082	6.106468662869513	ChIJF3vHvJhkjEcRJtLOC8xzgzg	Route de Meyrin
2068	12329	1601081.0	2015-05-24	Dérapage ou perte de maîtrise	Genève	Nuit	Beau	Autres	6.132666718231121	46.21512815283261	Sèche	Route principale	1899-12-30 22:00:00	Dimanche	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2499223.0	1119027.0	2015	5	24	Etat / intention du conducteur	Influence de l'alcool	46.21514339955578	6.132642754380307	ChIJ2wOK1dxkjEcRkmdxnCTlhuI	Rue des Asters 18-22
2069	12330	1588996.0	2015-04-25	Dérapage ou perte de maîtrise	Genève	Nuit	Couvert	Autres	6.129949513282207	46.199325183226	Humide	Route principale	1899-12-30 01:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2498984.0	1117274.0	2015	4	25	Etat / intention du conducteur	Influence de l'alcool	46.199311148280614	6.129932704480205	ChIJFTOix9JkjEcRjI6CrOZ4ckc	Quai Ernest-Ansermet 36-42
2070	12331	1591972.0	2015-05-02	Dérapage ou perte de maîtrise	Thônex	Jour	Couvert	Autres	6.189980665983128	46.18391944119606	Mouillée	Route principale	1899-12-30 08:00:00	Samedi	A l'extérieur d'une localité	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2503590.0	1115486.0	2015	5	2	Inattention et distraction	Manque d'attention momentané	46.18394546878638	6.189953099000848	ChIJP9fPBg9wjEcRnIvlV5XEhYE	Avenue de Thônex
2071	12332	1626080.0	2015-06-30	Accident en parquant	Genève	Nuit	Beau	Autres	6.156448986697469	46.20412788022164	Sèche	Route principale	1899-12-30 19:00:00	Mardi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2501038.0	1117774.0	2015	6	30	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	46.20412204881553	6.156439371983013	ChIJ2_LGJjFljEcR1p5M7Z_XifY	Rue des Pierres-du-Niton 6
2072	12333	1605181.0	2015-06-03	Accident en traversant une route	Genève	Jour	Beau	Avec blessés légers	6.1389411750337555	46.192825455686986	Sèche	Route principale	1899-12-30 16:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2499666.0	1116540.0	2015	6	3	Non-respect de la signalisation lumineuse	Non-respect d'un feu rouge	46.19281330752244	6.1389210984254685	ChIJLVJbAdZ6jEcRCsm3dXXHYvg	Quai du Cheval-Blanc
