	index	ID_ACCIDENT	DATE_	GROUPE_ACCIDENT	COMMUNE	CONDITIONS_LUMINEUSES	CONDITIONS_METEO	CONSEQUENCES	COOR_X	COOR_Y	ETAT_ROUTE	GENRE_ROUTE	HEURE	JOUR	LOCALITE	NB_ENFANTS_IMPLIQUES	NB_ENFANTS_ECOLE	NB_BLESSES_LEGERS	NB_BLESSES_GRAVES	NB_TUES	NB_PIETONS	NB_BICYCLETTES	NB_VAE_25	NB_VAE_45	NB_CYCLOMOTEURS	NB_MOTOS_50	NB_MOTOS_125	NB_MOTOS_11KW	NB_VOITURES_TOURISME	NB_VOITURES_LIVRAISON	NB_CAMIONS	NB_BUS	NB_TRAM	E	N	YEAR	MONTH	DAY	CAUSE_g	CAUSE_sg	location.latitude	location.longitude	placeId	road_name
0	300	1647805.0	2015-09-12	Accident en parquant	Vernier	Nuit	Couvert	Autres	6.096656651232178	46.20435020540297	Sèche	Autre	1899-12-30 02:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2496424.0	1117876.0	2015	9	12	Autres mouvements dans la circulation	Marche arrière imprudente	46.20433953040534	6.096672956676747	ChIJQ_TbBapkjEcR4MlC50KNhpw	Place du Lignon 6
2	658	1639088.0	2015-08-22	Accident en parquant	Carouge GE	Jour	Beau	Autres	6.134019712524429	46.18466248867907	Sèche	Autre	1899-12-30 17:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2499271.0	1115639.0	2015	8	22	Inattention et distraction	Manque d'attention momentané	46.18461841599221	6.134490912701263	ChIJcRszIid7jEcRcIdte3BVAjU	Avenue Vibert
3	710	1567533.0	2015-01-01	Accident en parquant	Thônex	Inconnu	Autre	Autres	6.2070934419866	46.205564757809775	Autre	Autre	1899-12-30 16:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2504949.0	1117871.0	2015	1	1	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	46.205588765723974	6.207066924807812	ChIJv5h8Q-hvjEcR5mPZd3Lwu4k	Chemin du Petit-Bel-Air 2
5	989	1599304.0	2015-05-16	Accident en parquant	Meyrin	Jour	Beau	Autres	6.081609435110207	46.233041462452675	Sèche	Autre	1899-12-30 08:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2495318.0	1121085.0	2015	5	16	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	46.23307529839794	6.081553409575857	ChIJuS2HOHNjjEcRfrZKhrlOiVQ	Rue des Boudines 2-10
6	1047	1597311.0	2015-05-15	Dérapage ou perte de maîtrise	Meyrin	Jour	Beau	Autres	6.081284131208289	46.232569709341966	Sèche	Autre	1899-12-30 11:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2495292.0	1121033.0	2015	5	15	Inattention et distraction	Manque d'attention momentané	46.2326958457895	6.081126681045573	ChIJA6XmJXNjjEcRnr4TnUB0c4A	Unnamed Road
7	1208	1608208.0	2015-06-10	Accident par tamponnement	Genève	Jour	Beau	Autres	6.134102815720659	46.22927882344264	Sèche	Autre	1899-12-30 16:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2499360.0	1120598.0	2015	6	10	Inattention et distraction	Manque d'attention momentané	46.22927618343775	6.1340906433538605	ChIJa6ruWfBkjEcR0LGcxT_vnYA	Route des Morillons 4
8	1472	1598335.0	2015-05-16	Accident en parquant	Meyrin	Jour	Beau	Autres	6.083304882585527	46.232638973918206	Sèche	Autre	1899-12-30 14:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2495448.0	1121038.0	2015	5	16	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	46.232296399999996	6.083913699999999	ChIJbesoxnNjjEcRGGUu2uV2noE	Avenue de Mategnin 69-63
9	1517	1581669.0	2015-04-01	Accident en parquant	Vernier	Inconnu	Autre	Autres	6.096279874209991	46.204390707888095	Autre	Autre	1899-12-30 08:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2496395.0	1117881.0	2015	4	1	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	46.204440507521326	6.096345933951652	ChIJuQDh-1VjjEcR9LqF2FSBUSw	Place du Lignon 34
10	1754	1570896.0	2015-03-13	Accident par tamponnement	Genève	Aurore / crépuscule	Beau	Avec blessés légers	6.15017938747488	46.21772262331606	Sèche	Route principale	1899-12-30 06:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2500579.0	1119293.0	2015	3	13	Etat / intention du conducteur	Influence de l'alcool	46.21773166599542	6.150197911269046	ChIJGy-myRhljEcRBKisscgmYy8	Avenue de France
11	1755	1543726.0	2015-01-02	Accident en quittant une route	Genève	Jour	Beau	Autres	6.145670221975001	46.195322933317044	Sèche	Route secondaire	1899-12-30 10:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2500190.0	1116809.0	2015	1	2	Refus d'accorder la priorité	En obliquant à droite devant un véhicule dans la même direction	46.195295808413704	6.1456738068139245	ChIJ04Myf9N6jEcRmaAkJaURrfE	Boulevard du Pont-d'Arve 19-9
12	1756	1567497.0	2015-03-05	Accident en traversant une route	Meyrin	Jour	Beau	Avec blessés légers	6.068601278988235	46.223446499898884	Sèche	Route secondaire	1899-12-30 12:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2494296.0	1120036.0	2015	3	5	Trafic de cycles et cyclomoteurs	Emprunter un passage pour piétons pour traverser la route	46.223454703518016	6.068589784333224	ChIJtYFl9BZjjEcRDETQRbxvopg	Rue Emma-Kammacher 2-6
13	1757	1550659.0	2015-01-19	Accident en parquant	Genève	Nuit	Pluie	Autres	6.145644042018139	46.21277647481761	Mouillée	Route secondaire	1899-12-30 20:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2500220.0	1118749.0	2015	1	19	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	46.212771324242716	6.145641399162782	ChIJOTMu2SBljEcRkBKU79OkxHA	Rue de la Navigation
14	1758	1558119.0	2015-02-09	Accident par tamponnement	Genève	Jour	Beau	Avec blessés légers	6.148250111973696	46.196342124512746	Sèche	Route secondaire	1899-12-30 15:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2500391.0	1116919.0	2015	2	9	Etat / intention du conducteur	Influence de l'alcool	46.19636298583693	6.148218986948619	ChIJfedC3NJ6jEcRM_NpEd6O8Qg	Boulevard de la Tour 14
15	1759	1550442.0	2015-01-17	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Vernier	Aurore / crépuscule	Couvert	Avec blessés légers	6.085665098627176	46.21646377675446	Sèche	Route secondaire	1899-12-30 17:00:00	Samedi	Non renseigné	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2495599.0	1119237.0	2015	1	17	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	46.21653304326885	6.08575265365978	ChIJEzZSCUNjjEcR1HKHKLzW3kQ	Route de Vernier
16	1761	1557417.0	2015-02-07	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Meyrin	Jour	Couvert	Autres	6.052013286308536	46.234472210604714	Sèche	Route principale	1899-12-30 12:00:00	Samedi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2493038.0	1121284.0	2015	2	7	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	46.23450595135814	6.052032571192473	ChIJHSEHlvtijEcRC8179jjtK5w	Route de Meyrin 388-392
17	1762	1602490.0	2015-05-26	Accident en parquant	Carouge GE	Jour	Autre	Autres	6.141284963313866	46.18580792128958	Autre	Route secondaire	1899-12-30 08:00:00	Mardi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2499834.0	1115757.0	2015	5	26	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	46.1858642248251	6.141270125970094	ChIJuWkpnNl6jEcRgbZHnzDSKp0	Rue de la Filature 23-13
18	1763	1604599.0	2015-06-02	Accident par tamponnement	Le Grand-Saconnex	Jour	Beau	Avec blessés légers	6.1241271508860375	46.22579825957239	Sèche	Route secondaire	1899-12-30 12:00:00	Mardi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2498584.0	1120224.0	2015	6	2	Inattention et distraction	Manque d'attention momentané	46.225808149186676	6.124136595693188	ChIJ_5MLMe1kjEcR4V3oK1rIbmQ	Chemin Moïse-Duboule 18
19	1764	1598156.0	2015-05-17	Dérapage ou perte de maîtrise	Petit-Lancy	Jour	Beau	Avec blessés légers	6.110581924174056	46.19126255730876	Sèche	Route secondaire	1899-12-30 18:00:00	Dimanche	A l'intérieur d'une localité	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2497474.0	1116403.0	2015	5	17	Inattention et distraction	Manque d'attention momentané	46.19126364281507	6.1105854961757124	ChIJ84saukh7jEcRYH8blCWiO14	Avenue des Morgines 27-17
20	1912	1609515.0	2015-06-13	Accident en parquant	Vernier	Jour	Beau	Autres	6.109728744277331	46.21982665038436	Sèche	Route secondaire	1899-12-30 12:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2497462.0	1119579.0	2015	6	13	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	46.21981597782507	6.1096886630648175	ChIJWba3QJhkjEcR3KUpaHR_HXs	Rue François-Durafour 17
21	1913	1599921.0	2015-05-21	Accident en quittant une route	Carouge GE	Jour	Beau	Avec blessés graves	6.150748169788837	46.18440491544752	Sèche	Route secondaire	1899-12-30 17:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2500562.0	1115589.0	2015	5	21	Autres mouvements dans la circulation	Demi-tour imprudent	46.18447191661618	6.150788539474603	ChIJ1_wp98R6jEcRZETqtHZRSws	Route de Veyrier 53-51
22	1914	1605667.0	2015-06-04	Accident par tamponnement	Meyrin	Jour	Beau	Autres	6.086900501546105	46.22620428189178	Sèche	Route principale	1899-12-30 18:00:00	Jeudi	A l'extérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2495713.0	1120318.0	2015	6	4	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède	46.22620002474578	6.086864789803479	ChIJuTuY425jjEcRBovWBKtEeQE	Avenue de Mategnin 5
23	1915	1597797.0	2015-05-16	Accident par tamponnement	Conches	Jour	Beau	Autres	6.1908409198080925	46.19611054031064	Sèche	Route principale	1899-12-30 14:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2503678.0	1116840.0	2015	5	16	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède	46.196096142317934	6.19082712128937	ChIJ_aRq6_1vjEcRMNgFhrCavD4	Rue de Chêne-Bougeries 32-36
24	1916	1585224.0	2015-04-16	Accident par tamponnement	Meyrin	Jour	Beau	Avec blessés graves	6.070055751443068	46.23570004525816	Sèche	Route principale	1899-12-30 12:00:00	Jeudi	Non renseigné	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2494432.0	1121396.0	2015	4	16	Inattention et distraction	Distraction par le maniement d'appareils électroniques (système de navigation, radio-émetteur, téléviseur, radio / cassettes / CD)	46.23569057814471	6.070073703859823	ChIJM64LrwhjjEcRZUu6pRZExrA	Avenue Louis-Rendu
25	1917	1653027.0	2015-09-25	Accident en traversant une route	Genève	Jour	Beau	Avec blessés légers	6.151876081961602	46.215033939839785	Sèche	Route principale	1899-12-30 08:00:00	Vendredi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2500705.0	1118992.0	2015	9	25	Trafic de cycles et cyclomoteurs	Emprunter un passage pour piétons pour traverser la route	46.21502747222928	6.151825012074113	ChIJ1eSOXyJljEcR2Ae8rF_b2ko	Quai Wilson
26	1918	1633480.0	2015-08-09	Collision frontale	Genève	Nuit	Couvert	Avec blessés légers	6.14891194743333	46.19848193876585	Sèche	Route secondaire	1899-12-30 01:00:00	Dimanche	A l'intérieur d'une localité	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2500446.0	1117156.0	2015	8	9	Etat / intention du conducteur	Influence de l'alcool	46.19847330494608	6.148912400217286	ChIJox1FPS1ljEcRIBE6BDpdJn8	Place des Casemates
27	1919	1623651.0	2015-07-15	Accident par tamponnement	Genève	Jour	Beau	Avec blessés légers	6.167303022610272	46.20930690472592	Sèche	Route secondaire	1899-12-30 20:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2501885.0	1118336.0	2015	7	15	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Stop'	46.20928878286722	6.167319865628395	ChIJr6qfDkdljEcRQT-RjPvrXIo	Quai Gustave-Ador 68-78
28	1920	1644796.0	2015-09-04	Accident par tamponnement	Genève	Jour	Beau	Avec blessés légers	6.128526313310903	46.20838649470456	Sèche	Route principale	1899-12-30 16:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2498891.0	1118283.0	2015	9	4	Inattention et distraction	Manque d'attention momentané	46.20838631332222	6.128526829755148	ChIJgVoLe8VkjEcRgHpDgp68c64	Rue de Lyon
29	1921	1657976.0	2015-10-07	Accident impliquant des piétons	Genève	Jour	Beau	Avec blessés légers	6.121723706758244	46.20782147262484	Sèche	Route secondaire	1899-12-30 14:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2498365.0	1118229.0	2015	10	7	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Cédez le passage'	46.20782967363285	6.121686128320247	ChIJ6Z0Pe8hkjEcREJaYny9A5iM	Promenade de l'Europe
30	1922	1643776.0	2015-09-02	Accident en s'engageant sur une route	Vésenaz	Jour	Beau	Avec blessés légers	6.206934211497996	46.2377712708127	Sèche	Route secondaire	1899-12-30 12:00:00	Mercredi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2504993.0	1121451.0	2015	9	2	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Cédez le passage'	46.237775570267544	6.206943225516111	ChIJRUSXK3FvjEcRqOfTFRRcw1g	Chemin des Bossonailles 23-21
31	1923	1657315.0	2015-10-05	Dérapage ou perte de maîtrise	Vernier	Nuit	Beau	Autres	6.081364951615231	46.214792688327634	Sèche	Route principale	1899-12-30 23:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2495264.0	1119057.0	2015	10	5	Inattention et distraction	Distraction par le maniement du téléphone	46.21480770645442	6.0813384998461295	ChIJrYkOr0ZjjEcRMAahbR4Mxdw	Route de Peney
32	1924	1661823.0	2015-10-16	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Genève	Jour	Couvert	Autres	6.14896926361343	46.19442503010964	Sèche	Route principale	1899-12-30 16:00:00	Vendredi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2500443.0	1116705.0	2015	10	16	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	46.19442872084277	6.148964914246924	ChIJhUnLZ9J6jEcRcObLlcw_GUo	Rue Gabrielle-Perret-Gentil
33	1974	1571972.0	2015-03-15	Accident en s'engageant sur une route	Genève	Jour	Couvert	Avec blessés légers	6.137198490706559	46.208810741654794	Sèche	Route secondaire	1899-12-30 17:00:00	Dimanche	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2499561.0	1118319.0	2015	3	15	Inattention et distraction	Manque d'attention momentané	46.20881836420311	6.137230083255908	ChIJry447dlkjEcRALDEsXPEbl0	Rue Jean-Gutenberg 12-14
34	1975	1577469.0	2015-03-28	Accident par tamponnement	Perly	Jour	Couvert	Autres	6.0841227177886905	46.15766827868248	Sèche	Route secondaire	1899-12-30 07:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2495367.0	1112704.0	2015	3	28	Inattention et distraction	Manque d'attention momentané	46.1576842946247	6.084099511009487	ChIJVzFN1Hh8jEcROu_2oD-xjoM	Route de Base 74-78
35	1976	1573562.0	2015-03-19	Accident par tamponnement	Thônex	Jour	Beau	Autres	6.212916989922116	46.19842182031872	Sèche	Autre	1899-12-30 07:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2505386.0	1117070.0	2015	3	19	Autres mouvements dans la circulation	Marche arrière imprudente	46.198428865691994	6.212915950414863	ChIJHQ8fV9lvjEcRDgaXdkwlnbs	Route d'Ambilly 7-1
36	1977	1553641.0	2015-01-28	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Genève	Nuit	Couvert	Autres	6.150844743822407	46.203857123766326	Sèche	Route principale	1899-12-30 06:00:00	Mercredi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2500605.0	1117751.0	2015	1	28	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	46.20385928174674	6.150845948409468	ChIJdw3wNy5ljEcR5LsYHetA0NY	Quai du Général-Guisan 28
37	1978	1572267.0	2015-03-16	Accident impliquant des piétons	Genève	Jour	Beau	Avec blessés légers	6.13007654877677	46.21343372797655	Sèche	Route principale	1899-12-30 11:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2499020.0	1118842.0	2015	3	16	Influence / comportement du piéton	Traversée imprudente de la route (en marchant)	46.213403527114245	6.130046620368825	ChIJ16MgbsNkjEcRTc6PMUS6txU	Rue de la Servette 93-91
38	1979	1577452.0	2015-03-28	Dérapage ou perte de maîtrise	Vésenaz	Nuit	Beau	Autres	6.2058443676525545	46.24523565527216	Sèche	Route principale	1899-12-30 05:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2504922.0	1122282.0	2015	3	28	Etat / intention du conducteur	Influence de l'alcool	46.245226458351	6.205854988742344	ChIJP8v8h2VvjEcRY_mpjSIa6iI	Route de Thonon 109
39	1980	1558617.0	2015-02-10	Dérapage ou perte de maîtrise	Versoix	Aurore / crépuscule	Autre	Autres	6.141849719050037	46.27733030392614	Autre	Autoroute	1899-12-30 19:00:00	Mardi	A l'extérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2500046.0	1125929.0	2015	2	10	Inattention et distraction	Manque d'attention momentané	46.27731080781742	6.141924839142204	ChIJpRBDb5xmjEcREBU0PMkzNS0	E62
40	1981	1568888.0	2015-03-08	Accident par tamponnement	Meyrin	Jour	Beau	Autres	6.0782822284538165	46.22715338689365	Sèche	Route principale	1899-12-30 17:00:00	Dimanche	A l'extérieur d'une localité	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2495050.0	1120435.0	2015	3	8	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède	46.2271464990487	6.078278487833394	ChIJQxn1JRNjjEcRshM4plL-S9U	Route de Meyrin 265-263
41	1982	1606141.0	2015-06-05	Accident par tamponnement	Petit-Lancy	Jour	Beau	Avec blessés légers	6.116944174144117	46.17573671055524	Sèche	Route principale	1899-12-30 18:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2497936.0	1114669.0	2015	6	5	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède	46.17575091237382	6.116909878659947	ChIJocMZExR7jEcRUVP1Mi07W0c	Avenue du Curé Baud
42	1983	1587656.0	2015-04-22	Accident par tamponnement	Vernier	Jour	Beau	Avec blessés légers	6.101682299423162	46.20232258669957	Sèche	Route principale	1899-12-30 09:00:00	Mercredi	A l'intérieur d'une localité	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2496808.0	1117644.0	2015	4	22	Inattention et distraction	Manque d'attention momentané	46.20231092534943	6.10166141590328	ChIJP6PPgKxkjEcRtG6phJ76fLQ	Route du Bois-des-Frères 10-12
43	1984	1603541.0	2015-05-30	Accident par tamponnement	Genève	Nuit	Beau	Avec blessés légers	6.1653448065536285	46.20272616441447	Sèche	Route principale	1899-12-30 23:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2501722.0	1117607.0	2015	5	30	Etat / intention du conducteur	Influence de l'alcool	46.20272696779372	6.165344271591484	ChIJHc3pvElljEcRcEHbC8-6pZM	Route de Frontenex 60
44	1985	1598136.0	2015-05-17	Accident en traversant une route	Genève	Jour	Beau	Autres	6.147985897397912	46.19874125230908	Sèche	Route principale	1899-12-30 17:00:00	Dimanche	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2500375.0	1117186.0	2015	5	17	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Stop'	46.19872331296173	6.147960153880104	ChIJH02L4CxljEcRBplZnjPcjMU	Rue de l'Athénée 2
45	1986	1614403.0	2015-06-25	Collision frontale	Vésenaz	Nuit	Beau	Autres	6.203252845436912	46.2525666582333	Sèche	Route principale	1899-12-30 00:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2504735.0	1123100.0	2015	6	25	Dépassement (situation)	Franchissement de la ligne de sécurité	46.252565403629895	6.203255976436664	ChIJsewo9F1vjEcRkCAwke6OLSI	Route d'Hermance 95-91
46	1987	1612394.0	2015-06-20	Dérapage ou perte de maîtrise	Bernex	Aurore / crépuscule	Couvert	Autres	6.084187725972849	46.17899178060175	Humide	Route principale	1899-12-30 07:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2495413.0	1115074.0	2015	6	20	Etat / intention du conducteur	Influence de l'alcool	46.17899358038214	6.084174642836348	ChIJQxULIZl8jEcRFN4P12yzU-o	Unnamed Road
47	1988	1598802.0	2015-05-19	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Bellevue	Jour	Couvert	Autres	6.14967934341625	46.247019585799606	Sèche	Autoroute	1899-12-30 08:00:00	Mardi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2500594.0	1122550.0	2015	5	19	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	46.24699454901553	6.149646295124187	ChIJoZOqNk1kjEcReq0vBWHaYXg	A1a
48	1989	1662132.0	2015-10-02	Accident en parquant	Genève	Jour	Beau	Autres	6.1438733160711285	46.19515837358361	Sèche	Route principale	1899-12-30 16:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2500051.0	1116793.0	2015	10	2	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	46.19514678773901	6.143875938125335	ChIJWUKWYtR6jEcREJVTCboGiJ4	Boulevard du Pont-d'Arve 29-21
