	index	ID_ACCIDENT	DATE_	GROUPE_ACCIDENT	COMMUNE	CONDITIONS_LUMINEUSES	CONDITIONS_METEO	CONSEQUENCES	COOR_X	COOR_Y	ETAT_ROUTE	GENRE_ROUTE	HEURE	JOUR	LOCALITE	NB_ENFANTS_IMPLIQUES	NB_ENFANTS_ECOLE	NB_BLESSES_LEGERS	NB_BLESSES_GRAVES	NB_TUES	NB_PIETONS	NB_BICYCLETTES	NB_VAE_25	NB_VAE_45	NB_CYCLOMOTEURS	NB_MOTOS_50	NB_MOTOS_125	NB_MOTOS_11KW	NB_VOITURES_TOURISME	NB_VOITURES_LIVRAISON	NB_CAMIONS	NB_BUS	NB_TRAM	E	N	YEAR	MONTH	DAY	CAUSE_g	CAUSE_sg
943	6598	1604750.0	2015-06-02	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Versoix	Jour	Beau	Avec blessés légers	6.165735930664723	46.2895497248716	Sèche	Route principale	1899-12-30 17:00:00	Mardi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2501909.0	1127257.0	2015	6	2	Dépassement (circulation)	En dépassant de trop près (latéral)
944	6599	1649062.0	2015-09-15	Accident en quittant une route	Genève	Jour	Couvert	Avec blessés légers	6.1544570213110665	46.2039792692255	Sèche	Route principale	1899-12-30 14:00:00	Mardi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2500884.0	1117760.0	2015	9	15	Refus d'accorder la priorité	Priorité en obliquant à gauche devant des véhicules venant en sens inverse
945	6600	1626632.0	2015-07-23	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Carouge GE	Jour	Beau	Autres	6.14589803038688	46.18464632056684	Sèche	Route secondaire	1899-12-30 14:00:00	Jeudi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2500188.0	1115622.0	2015	7	23	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie
946	6665	1646932.0	2015-09-09	Dérapage ou perte de maîtrise	Vernier	Jour	Beau	Avec blessés graves	6.076727230002395	46.21677912454433	Sèche	Route secondaire	1899-12-30 19:00:00	Mercredi	Non renseigné	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2494910.0	1119284.0	2015	9	9	Refus d'accorder la priorité	Priorité en obliquant à gauche devant des véhicules venant en sens inverse
947	6666	1633653.0	2015-08-09	Collision frontale	Vernier	Jour	Couvert	Avec blessés légers	6.111848340735337	46.22060732842461	Sèche	Route secondaire	1899-12-30 14:00:00	Dimanche	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2497627.0	1119663.0	2015	8	9	Dépassement (circulation)	En dépassant de trop près (latéral)
948	6667	1633402.0	2015-08-08	Accident par tamponnement	Genève	Jour	Beau	Autres	6.154715241066301	46.20127416898654	Sèche	Route principale	1899-12-30 19:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2500899.0	1117459.0	2015	8	8	Inattention et distraction	Manque d'attention momentané
949	6668	1646971.0	2015-09-09	Accident en parquant	Genève	Nuit	Beau	Autres	6.154716942186173	46.20175101912451	Sèche	Route principale	1899-12-30 21:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2500900.0	1117512.0	2015	9	9	Autres mouvements dans la circulation	Marche arrière imprudente
950	6669	1631063.0	2015-07-31	Accident en parquant	Genève	Jour	Autre	Autres	6.149415694879827	46.204560548454914	Sèche	Autre	1899-12-30 18:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2500496.0	1117831.0	2015	7	31	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)
951	6670	1633370.0	2015-08-08	Accident par tamponnement	Genève	Jour	Couvert	Autres	6.154631143445984	46.19934789522322	Sèche	Route secondaire	1899-12-30 18:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2500889.0	1117245.0	2015	8	8	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède
952	6671	1624967.0	2015-07-19	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Genève	Nuit	Beau	Avec blessés graves	6.139138132576848	46.20139271176573	Sèche	Route secondaire	1899-12-30 23:00:00	Dimanche	Non renseigné	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2499697.0	1117492.0	2015	7	19	Dépassement (circulation)	En dépassant de trop près (latéral)
