originalIndex	location.latitude	location.longitude	placeId
0	46.204339530405335	6.096672956676745	ChIJQ_TbBapkjEcR4MlC50KNhpw
2	46.18461841599221	6.134490912701262	ChIJcRszIid7jEcRcIdte3BVAjU
3	46.20558876572397	6.207066924807813	ChIJv5h8Q-hvjEcR5mPZd3Lwu4k
5	46.233075298397935	6.081553409575856	ChIJuS2HOHNjjEcRfrZKhrlOiVQ
6	46.2326958457895	6.081126681045573	ChIJA6XmJXNjjEcRnr4TnUB0c4A
7	46.22927618343775	6.13409064335386	ChIJa6ruWfBkjEcR0LGcxT_vnYA
8	46.232296399999996	6.083913699999999	ChIJbesoxnNjjEcRGGUu2uV2noE
9	46.20444050752133	6.096345933951652	ChIJuQDh-1VjjEcR9LqF2FSBUSw
10	46.21773166599542	6.150197911269046	ChIJGy-myRhljEcRBKisscgmYy8
11	46.1952958084137	6.145673806813926	ChIJ04Myf9N6jEcRmaAkJaURrfE
12	46.223454703518016	6.068589784333223	ChIJtYFl9BZjjEcRDETQRbxvopg
13	46.212771324242716	6.145641399162783	ChIJOTMu2SBljEcRkBKU79OkxHA
14	46.19636298583694	6.148218986948619	ChIJfedC3NJ6jEcRM_NpEd6O8Qg
15	46.216533043268846	6.08575265365978	ChIJEzZSCUNjjEcR1HKHKLzW3kQ
16	46.23450595135813	6.052032571192471	ChIJHSEHlvtijEcRC8179jjtK5w
17	46.185864224825096	6.141270125970094	ChIJuWkpnNl6jEcRgbZHnzDSKp0
18	46.22580814918668	6.124136595693188	ChIJ_5MLMe1kjEcR4V3oK1rIbmQ
19	46.19126364281507	6.1105854961757124	ChIJ84saukh7jEcRYH8blCWiO14
20	46.21981597782507	6.109688663064819	ChIJWba3QJhkjEcR3KUpaHR_HXs
21	46.18447191661618	6.150788539474603	ChIJ1_wp98R6jEcRZETqtHZRSws
22	46.226200024745786	6.086864789803479	ChIJuTuY425jjEcRBovWBKtEeQE
23	46.196096142317934	6.19082712128937	ChIJ_aRq6_1vjEcRMNgFhrCavD4
24	46.235690578144705	6.070073703859821	ChIJM64LrwhjjEcRZUu6pRZExrA
25	46.21502747222928	6.151825012074111	ChIJ1eSOXyJljEcR2Ae8rF_b2ko
26	46.198473304946084	6.148912400217286	ChIJox1FPS1ljEcRIBE6BDpdJn8
27	46.209288782867226	6.167319865628395	ChIJr6qfDkdljEcRQT-RjPvrXIo
28	46.20838631332222	6.128526829755147	ChIJgVoLe8VkjEcRgHpDgp68c64
29	46.20782967363285	6.121686128320248	ChIJ6Z0Pe8hkjEcREJaYny9A5iM
30	46.23777557026754	6.20694322551611	ChIJRUSXK3FvjEcRqOfTFRRcw1g
31	46.21480770645442	6.08133849984613	ChIJrYkOr0ZjjEcRMAahbR4Mxdw
32	46.19442872084276	6.148964914246924	ChIJhUnLZ9J6jEcRcObLlcw_GUo
33	46.20881836420311	6.137230083255907	ChIJry447dlkjEcRALDEsXPEbl0
34	46.1576842946247	6.084099511009487	ChIJVzFN1Hh8jEcROu_2oD-xjoM
35	46.198428865692	6.212915950414862	ChIJHQ8fV9lvjEcRDgaXdkwlnbs
36	46.20385928174674	6.150845948409468	ChIJdw3wNy5ljEcR5LsYHetA0NY
37	46.21340352711425	6.130046620368825	ChIJ16MgbsNkjEcRTc6PMUS6txU
38	46.245226458351	6.205854988742342	ChIJP8v8h2VvjEcRY_mpjSIa6iI
39	46.27731080781742	6.141924839142205	ChIJpRBDb5xmjEcREBU0PMkzNS0
40	46.2271464990487	6.078278487833394	ChIJQxn1JRNjjEcRshM4plL-S9U
41	46.175750912373815	6.116909878659948	ChIJocMZExR7jEcRUVP1Mi07W0c
42	46.20231092534942	6.10166141590328	ChIJP6PPgKxkjEcRtG6phJ76fLQ
43	46.20272696779372	6.165344271591484	ChIJHc3pvElljEcRcEHbC8-6pZM
44	46.198723312961725	6.147960153880104	ChIJH02L4CxljEcRBplZnjPcjMU
45	46.2525654036299	6.203255976436664	ChIJsewo9F1vjEcRkCAwke6OLSI
46	46.17899358038214	6.084174642836347	ChIJQxULIZl8jEcRFN4P12yzU-o
47	46.24699454901552	6.149646295124188	ChIJoZOqNk1kjEcReq0vBWHaYXg
48	46.195146787739006	6.143875938125335	ChIJWUKWYtR6jEcREJVTCboGiJ4
49	46.191248801075155	6.141173845424279	ChIJrZql99Z6jEcRIKNnyD655i8
50	46.200005088722634	6.167261334518874	ChIJG0fKlEtljEcRzj5HWtx5UAw
51	46.207017853418385	6.147615968270582	ChIJLW5Z_yVljEcRVPGSlqt79XI
52	46.22477152925541	6.08744744382524	ChIJS0_6LG9jjEcR0Sv68HAhOng
53	46.178721442117684	6.182176567141119	ChIJSydY9ApwjEcRJBl6aa7FQls
54	46.22365059847096	6.109022226920838	ChIJTQoiK5pkjEcRsrttwB-BPzg
55	46.223819555239224	6.10882731670386	ChIJQVW905tkjEcRbNN1rqQjZqE
56	46.17962695859417	6.101375370006583	ChIJd7iG12d7jEcRMDXB1YpZcDk
57	46.16373007604313	6.106640536331376	ChIJeVZBUnR7jEcRAqbexHnyAWY
58	46.22689545642275	6.246603702398606	ChIJe4geXldujEcRjm00L1D0Rtc
59	46.19057249899852	6.184251698418378	ChIJN-lmMgdwjEcRODnQdcO7Inc
60	46.20668759628717	6.160108969177995	ChIJCTEM3DlljEcR5uTzFjVYx_Q
61	46.16200041003744	6.109241814342965	ChIJcbYPugp7jEcRG8Qh0BKoBcM
62	46.1896511159942	6.1115583570822585	ChIJrYb1IEZ7jEcRrLRlQSSdT6E
63	46.214499811611546	6.195314260701514	ChIJbXezzYxvjEcRcDELJwvKpNs
64	46.189086989621195	6.120115885097674	ChIJg6S54zl7jEcRIOMQfMHXlCs
65	46.200992312799755	6.1428852960875355	ChIJw31qTCpljEcRgSc5JNcBzkM
66	46.21120584498623	6.1231970314336905	ChIJVZ95EcdkjEcRIZGvZjfiVG8
67	46.189444498567255	6.101389792716387	ChIJp7uld1p7jEcR8eStIJI3AP0
68	46.20011482885594	6.169059603262502	ChIJR38JPkxljEcRoE6JO5udVFc
69	46.20359428747081	6.152197450878465	ChIJ8Vzy2DFljEcRTmycmP9nVNw
70	46.2476713696629	6.215787913797639	ChIJ9QHZbGtvjEcROpY1V4_mmfw
71	46.21924368810895	6.147323686360768	ChIJ22zS_x5ljEcRR2qpZt43P9g
72	46.20791900089758	6.127051820940672	ChIJgwlpY89kjEcRd36G0FdsRi8
73	46.176388489889554	6.092667701778167	ChIJ2QnOKWJ7jEcRQioHkLMb9eA
74	46.22325369679832	6.1437124347093475	ChIJc9M_QOJkjEcRfruW-5mJtns
75	46.226201780076565	6.128016743373953	ChIJ6YrO3e1kjEcRQLiuWIvnNPs
76	46.17601320812635	6.161949085357315	ChIJAeAfwZV6jEcRYXO1M8IdG60
77	46.20782293896433	6.148706313083529	ChIJHypJ7CVljEcRPte9GRGbX8I
78	46.203266417143844	6.136238718905725	ChIJxQvortZkjEcRcN0epvWOte0
79	46.19384299092914	6.154018777685912	ChIJux8xXcx6jEcR4W99dCny4nI
80	46.20835955486638	6.1464200848089945	ChIJYSNvFSZljEcRsSudhVtiRww
81	46.203227138059276	6.1587822246574255	ChIJ_ZyCxjZljEcRxvIIHkligAU
82	46.20851686168382	6.107427510098348	ChIJi1bJ8a9kjEcRQQFCm6g2-JA
83	46.20670317443781	6.1479581209276475	ChIJD_xLWi9ljEcRJDfhpE---Ag
84	46.224517801546384	6.101581080754993	ChIJuRxRk51kjEcRdAWnhPCBNdI
85	46.208316836164144	6.199209239687851	ChIJgSHba-5vjEcRiGUgfPSTw_E
86	46.20326455588662	6.153780402657345	ChIJP1LuvjFljEcRrBjkXakgbGo
87	46.2084635200976	6.1344759258714125	ChIJzQeUZdpkjEcRkpwhHxmNuIE
88	46.20861063796636	6.130697776445762	ChIJmy7HXMVkjEcR39FgIg3KUfg
89	46.20270092994394	6.15649710038697	ChIJl2BVajFljEcRuFdLXU5erXQ
90	46.19779494173532	6.1571404635883145	ChIJd0NWnzRljEcR8q8IMf2q2sE
91	46.20011228597698	6.141196225048205	ChIJA_WaiSpljEcRIUQaPwkMyYU
92	46.216389406071094	6.176635433177293	ChIJQTDxcGhljEcRnzU8eJ7_nr8
93	46.19298679990085	6.020261047073354	ChIJy70-sUV9jEcRWjcK4KkntOs
94	46.17919483678636	6.1391017279630065	ChIJARlVI956jEcRIKJytvh81rI
95	46.20222672728703	6.110748131705968	ChIJM9aTprNkjEcRyTWkHE--fKI
96	46.20718766438713	6.180166192951968	ChIJCdukM1pljEcRMLfDkfDBRuo
97	46.156408785480096	6.096045828718822	ChIJB1WUvIR7jEcRwvtagf0J4HA
98	46.20290955919752	6.188552953834736	ChIJFZxNU_hvjEcRAJZGZUUTSnY
99	46.20532270207781	6.157235307144316	ChIJl8tBuDBljEcRVK4urx4LJZc
100	46.20961573941971	6.120002195458949	ChIJF_TGCrhkjEcRZi4Kyg56Ypk
101	46.195446153840116	6.14674832312328	ChIJx3DxDdN6jEcR7HXanP49r7g
102	46.19798271250453	6.079900395653022	ChIJia5nH7J8jEcRwEhHGH8HdEg
103	46.21360064459806	6.130069121181314	ChIJQ38ObsNkjEcRDZxIKf3qWOQ
104	46.20386527099613	6.150823548648739	ChIJdw3wNy5ljEcR5LsYHetA0NY
105	46.176346389161075	6.075168267833888	ChIJZRL2QJF8jEcRoFjfgTx4yVE
106	46.19427739795925	6.128339829009626	ChIJQbuX-i17jEcRV5fCaxTVpW4
107	46.20670823462953	6.117257290750873	ChIJcx2zqLdkjEcRMEwTHVGrSZU
108	46.255467291703766	6.143222331803575	ChIJ8VwX1DdkjEcRknhowBD6BCo
109	46.2058925947524	6.161879715855569	ChIJfd1thjdljEcRpJsRgsBHV8s
110	46.210601881751195	6.1036858490756964	ChIJO3VD56VkjEcRJNmLVq415ig
111	46.205282415024804	6.100577204808814	ChIJ6ZppZqlkjEcRmudI-nFBsEs
112	46.18319582512374	6.1204055714907994	ChIJjevpIjx7jEcR3-MVTnlGEKM
113	46.17322880944027	6.127415669649328	ChIJxbC1vxt7jEcRixvvyR7mWFg
114	46.29374049650082	6.1634291899744955	ChIJUQjlOF5mjEcRwtkUNZqM2QM
115	46.17797991431519	6.072214586026997	ChIJbf7scZR8jEcRgrTi4gcT7uA
116	46.19871238936285	6.182291256348039	ChIJxZZYsFVljEcR8bWiAKNQWMU
