	road_name
0	Place du Lignon 6
1	Avenue Vibert
2	Chemin du Petit-Bel-Air 2
3	Rue des Boudines 2-10
4	Unnamed Road
5	Route des Morillons 4
6	Avenue de Mategnin 69-63
7	Place du Lignon 34
8	Avenue de France
9	Boulevard du Pont-d'Arve 19-9
10	Rue Emma-Kammacher 2-6
11	Rue de la Navigation
12	Boulevard de la Tour 14
13	Route de Vernier
14	Route de Meyrin 388-392
15	Rue de la Filature 23-13
16	Chemin Moïse-Duboule 18
17	Avenue des Morgines 27-17
18	Rue François-Durafour 17
19	Route de Veyrier 53-51
20	Avenue de Mategnin 5
21	Rue de Chêne-Bougeries 32-36
22	Avenue Louis-Rendu
23	Quai Wilson
24	Place des Casemates
25	Quai Gustave-Ador 68-78
26	Rue de Lyon
27	Promenade de l'Europe
28	Chemin des Bossonailles 23-21
29	Route de Peney
30	Rue Gabrielle-Perret-Gentil
31	Rue Jean-Gutenberg 12-14
32	Route de Base 74-78
33	Route d'Ambilly 7-1
34	Quai du Général-Guisan 28
35	Rue de la Servette 93-91
36	Route de Thonon 109
37	E62
38	Route de Meyrin 265-263
39	Avenue du Curé Baud
40	Route du Bois-des-Frères 10-12
41	Route de Frontenex 60
42	Rue de l'Athénée 2
43	Route d'Hermance 95-91
44	Unnamed Road
45	A1a
46	Boulevard du Pont-d'Arve 29-21
47	Rue des Battoirs 9
48	Route de Chêne 26-28
49	Rue du Mont-Blanc
50	Route de Meyrin
51	Veyrier
52	Avenue Louis-Casaï 58
53	Avenue Louis-Casaï 63-57
54	Chemin de Belle-Cour
55	Route de Saint-Julien
56	Route de Jussy
57	Route de Malagnou 178-192
58	Quai Gustave-Ador 42
59	Tranchée Couverte d'Arare
60	Unnamed Road
61	Chemin de la Blonde 3-1
62	Chemin de la Vendée
63	Centre-Plainpalais-Acacias
64	Avenue Soret 39-23
65	Rue des Evaux 2
66	Route de Chêne 37-31
67	Quai du Général-Guisan 34
68	Route de Thonon 156-158
69	Avenue Blanc 20-26
70	Rue des Charmilles 3
71	Chemin de Narly
72	Chemin Eugène-Rigot 3
73	Avenue De-Budé
74	Route de Veyrier 166
75	Quai du Mont-Blanc 11-7
76	Rue du Stand 15-5
77	Rue de Contamines 35-27
78	Rue Ami-Lévrier 7-1
79	Rue Henri-Blanvalet 17-7
80	Chemin de l'Ecu
81	Pont du Mont-Blanc
82	Route de Pré-Bois
83	Chemin du Petit-Pont 15-3
84	Quai du Général-Guisan 40-42
85	Rue de Lyon 32-42
86	Rue de Lyon 67-61
87	Rue François-Versonnex 8
88	Rue Michel-Chauvet 2-12
89	Boulevard Georges-Favon 29
90	Quai de Cologny
91	Route de Verbois 59
92	Route de Drize 5
93	Route du Pont Butin
94	Route de Vandœuvres 8
95	Route de Saint-Julien
96	Chemin de la Gradelle 58-60
97	Quai Gustave-Ador 18
98	Avenue de Châtelaine 12-16
99	Rue Micheli-du-Crest 5
100	Route de Chèvres
101	Rue de la Servette 100
102	Quai du Général-Guisan 28
103	Rue de Bernex 248-258
104	Route des Jeunes
105	Rue Camille-Martin 6-10
106	Chemin de la Roselière 12-14
107	Rue du Clos 4
108	Vernier
109	Chemin de la Muraille 11
110	Route du Pont Butin
111	Route de Saint-Julien 72
112	Grand-Montfleury 18-28
113	Route de Chancy
114	Route de Chêne 121-111
115	E62
116	Avenue Pictet-de-Rochemont 14
117	Rue Sismondi 9-1
118	Route du Bois-des-Frères
119	Route de Malagnou
120	Pâquis-Nations
121	Chemin du Bac
122	Quai Capo-d'Istria
123	Rue Dancet 21-19
124	Rue de Monthoux 58-66
125	Rue du Cendrier 19-15
126	Route du Mandement
127	Route de Vernier
128	Route de Meyrin
129	Avenue d'Aïre 40
130	Rue Voltaire 12-18
131	Route de Vernier
132	Rue Cavour 16-20
133	E62
134	Chemin de la Mousse 131-109
135	Avenue Trembley 12
136	Route des Jeunes 12
137	Avenue de la Praille
138	Avenue Théodore-Vernes
139	Chemin du Pont-du-Centenaire 114-134
140	Route de Mon-Idée
141	Route du Pont Butin
142	Tunnel de Vernier
143	Quai des Vernets 8
144	Rue Pécolat 5
145	Route de l'Aéroport
146	Rue des Alpes
147	Rue Hoffmann 12-18
148	Quai Wilson
149	Avenue Adrien-Jeandin 1
150	Route de Sous-Moulin 37
151	Veyrier
152	Rue Dancet 2-10
153	Route François-Peyrot
154	Lancy
155	Route de Saint-Julien 48
156	Route de Chancy
157	Route de Saint-Julien 270-278
158	Quai du Mont-Blanc 19
159	E62
160	Rue des Charmilles
161	Rue Jean-Petitot 2-6
162	A1a
163	E62
164	Chemin des Crêts-de-Champel
165	Boulevard Helvétique 31-25
166	Place d'Armes 16-26
167	Route de l'Aéroport
168	Place de Neuve
169	Chemin des Sports 68
170	Chemin des Tulipiers 23
171	Rue des Bossons
172	Pâquis-Nations
173	Chêne-Bougeries
174	Boulevard James-Fazy
175	Rue Kléberg 14
176	Route de Sous-Moulin
177	Route de Drize
178	Route de Choulex
179	E62
180	Route de Lausanne 263
181	Avenue Louis-Casaï 27
182	Avenue de Sainte-Clotilde 24
183	Place de Cornavin
184	Route du Grand-Lancy 38-48
185	Route de Saint-Julien 125-123
186	Route de l'Etraz
187	Quai du Mont-Blanc 1
188	E62
189	E62
190	Avenue de Bel-Air 45
191	Chemin de Machéry 45
192	La Vy-la-Tour
193	Ch. Jacques-Philibert-de-Sauvage 40-42
194	Rue François-Durafour 17
195	A1a
196	Chemin Jules-Cougnard 9-5
197	Unnamed Road
198	:ERROR STATUS: NOT_FOUND
199	Rue du Léopard 9-1
200	Route de Bellegarde 6-26
201	Quai du Mont-Blanc
202	E62
203	Quai Capo-d'Istria
204	Avenue du Mail 4
205	Rue François-Le-Fort 25-23
206	Avenue des Communes-Réunies 46-48
207	Chemin de Saule 5
208	Chemin des Deux-Communes 4-12
209	Rue de la Servette 100
210	Route de Ferney 185-183
211	Rue Jacques-Grosselin
212	Chemin de Champs Prévost
213	Route de Meyrin 29-21
214	Route de Veyrier 83-77
215	Chemin de la Blonde 40-38
216	Rue Hoffmann 5-3
217	Rue des Entreprises 10-14
218	Route du Grand-Lancy 92-96
219	Rue Arnold Winkelried 2-8
220	Route de Ferney 208
221	Avenue Ernest-Pictet 34-32
222	Rue de Berne 36-42
223	Rue de Montchoisy 20-44
224	Avenue Edmond-Vaucher 53
225	Chemin du Gué 79-81
226	Avenue Blanc 42-50
227	Rue de l'Athénée 22-34
228	Rue Adrien-Lachenal 11-7
229	Chemin des Marais
230	Rue Guillaume-de-Marcossay 21-7
231	Chemin des Crêts-de-la-Capite 15
232	Rue de l'Industrie 2-6
233	Route d'Aire-la-Ville 148
234	Quai du Mont-Blanc
235	Avenue Auguste-François-Dubois 29-3
236	Route de Vernier
237	Quai du Mont-Blanc 19
238	E62
239	Chemin de la Muraille
240	Route de Saconnex-d'Arve 4-22
241	E62
242	Rue des Alpes 10
243	Rue des Savoises 15
244	Rampe Quidort
245	Pont du Mont-Blanc
246	Boulevard Georges-Favon 35
247	Pont de la Coulouvrenière
248	Rue de l'Ecole-de-Médecine 11
249	Route de Chêne 124
250	Route des Acacias 60-48
251	Route de Malagnou 143
252	Route d'Aire-la-Ville
253	E62
254	Route de Meyrin
255	Rue de la Fontenette 33-25
256	Rue des Alpes 22-24
257	Pont de la Coulouvrenière
258	Rue Ferdinand-Hodler
259	Route du Bout-du-Monde
260	Rue François-Perréard 23-21
261	Quai Gustave-Ador
262	Quai Ernest-Ansermet
263	Avenue de l'Amandolier 27-19
264	Rue Pictet-de-Bock 1-7
265	Rue de Villereuse 4-10
266	Route du Bois-des-Frères
267	Avenue Wendt 12
268	Rue de Lyon 55
269	Rue François-Diday 6-8
270	Chemin du Château-Bloch 17
271	Rue Lombard
272	A1a
273	Rue Henri-Spiess
274	Chemin du Pont-du-Centenaire
275	Rue de la Faucille 1
276	Route du Pont Butin
277	Route du Val-d'Arve
278	Route du Mandement
279	Rue Lect 41-29
280	E62
281	Route de Ferney 185-183
282	Rue des Rois 23-17
283	Quai Ernest-Ansermet
284	Quai Gustave-Ador
285	Rue De-Candolle 2-8
286	Route du Vélodrome 56-82
287	Pâquis-Nations
288	Square Pradier
289	Route de Compois 79
290	Unnamed Road
291	Route du Bout-du-Monde 18
292	Rue Terreaux-du-Temple 4-6
293	Rue Grange-Lévrier
294	Chemin Thury 5-9
295	Avenue de Vaudagne 13
296	Champel
297	Rue de Monthoux 3
298	Chemin de Bellefontaine 21
299	Chemin de Grange-Canal
300	Chemin des Esserts 3-1
301	Avenue de Feuillasse
302	Avenue de Feuillasse
303	Quai des Vernets 8
304	Avenue Adrien-Jeandin
305	Rue de Moillebeau 37
306	Boulevard Helvétique
307	Route du Nant-d'Avril
308	Chemin d'Evordes
309	Quai Wilson 41-39
310	Rue du 31 Décembre 41-33
311	Chemin de Pesay 2-12
312	Route de Chêne 63-53
313	Chemin des Sports 83-73
314	Boulevard Georges-Favon 29
315	Route de Veyrier
316	Route de Drize
317	Route des Fayards 37
318	Unnamed Road
319	Route de Chêne 105
320	Route de Meyrin
321	Route de Sous-Moulin
322	Route de Pré-Bois
323	A1a
324	Chemin de la Place-Verte 34
325	:ERROR STATUS: NOT_FOUND
326	Rue Saint-Victor 24-36
327	Boulevard Georges-Favon 29
328	Boulevard des Promenades 1
329	Route de Lausanne 355-345
330	:ERROR STATUS: NOT_FOUND
331	Unnamed Road
332	Rue Jean-Jaquet 8-18
333	Rue Adrien-Lachenal 5
334	Chemin des Princes
335	Rue François-Dussaud
336	Route de Peney
337	A1
338	Rue de Jargonnant
339	Chemin des Palettes 39-35
340	Rue Liotard 41
341	Jonction
342	Rue Antoine-Carteret 14-16
343	Avenue de Thônex
344	Route de Chancy
345	Rue de Chêne-Bougeries 32-36
346	Rue de Chantepoulet 13-1
347	Route de Meyrin
348	Route de Veyrier
349	Route de Choulex 80
350	:ERROR STATUS: NOT_FOUND
351	Jonction
352	Route de Saint-Julien 121-119
353	Route de Vernier 137
354	Route du Mandement
355	Unnamed Road
356	Pâquis-Nations
357	Boulevard de Saint-Georges
358	Rue Eugène-Marziano 41-31
359	Avenue Vibert
360	Rue John-Grasset 8-10
361	Rue Jean-Charles Amat 5-1
362	Quai de Cologny 4-3
363	Route de Vernier
364	Unnamed Road
365	Route de Certoux 51
366	:ERROR STATUS: NOT_FOUND
367	Rue Ferrier 14-16
368	Chemin des Colombettes 34
369	Route de Rougemont 73-71
370	Chemin des Coudriers
371	Avenue Louis-Casaï 10
372	Boulevard des Tranchées
373	Rue Sismondi 9-1
374	Grottes - Saint-Gervais
375	Chemin de la Mousse
376	Rue de la Mairie 35-29
377	:ERROR STATUS: NOT_FOUND
378	Pont de Saint-Georges
379	Rue de Moillebeau
380	Route de Vernier 137
381	Avenue du Pailly
382	Unnamed Road
383	Rue de la Dôle 19-17
384	Rue du Port 4-12
385	Boulevard James-Fazy 3
386	Route d'Ornex 8-12
387	Chemin des Baraques
388	Rue de l'Ancien-Port 2-8
389	Avenue de Champel 51-71
390	Pregny-Chambésy
391	Rue de Berne 3-1
392	Rue de la Scie 2
393	Boulevard des Promenades 25
394	Place Jean-Marteau 1
395	:ERROR STATUS: NOT_FOUND
396	Route de Meyrin 265-263
397	Unnamed Road
398	Chêne-Bougeries
399	Route de Vernier 115-113
400	Unnamed Road
401	Route de Meyrin 385-33
402	Unnamed Road
403	Place des Eaux-Vives 2-12
404	Unnamed Road
405	Rue Pécolat 1
