	NOM_VOIE	TJOM	TJM	DISPONIBILITE	DATEDT	NOM_POINT_DE_MESURE	E	N
207	Quai Gustave- ADOR	18238.0	16959.0	2 mois par an	2016-10-12 10:36:50.000001	Gustave-Ador / Traînant	2502284.71	1118596.21
234	Route de l' Etraz	2697.0	2361.0	3 semaines/an	2016-10-12 10:38:22		2500265.84	1126456.62
235	Route de Suisse	10149.0	9656.0	3 semaines/an	2016-10-12 10:38:21	Suisse (Route)	2502023.36	1127894.32
237	Route de Sauverny	2403.0	2165.0	3 semaines/an	2016-10-12 10:38:19	Douane de Sauverny (Route de Sauverny)	2498440.01	1129768.24
239	Route de Bois-Chatton	2595.0	2199.0	1 fois tous les 5 ans	2016-10-12 10:38:17	Douane de Bossy (route de Bois-Chatton)	2497212.93	1126963.44
246	Route François- PEYROT	8540.0	7924.0	2 mois par an	2016-10-12 10:41:52	Vorge65	2497800.88	1121035.52
256	  N 1a	10270.0	9607.0	365 jrs/an	2016-10-12 10:38:05	Genève-Lac	2499971.25	1123080.35
260	Pont de Carouge	4381.0	3997.0	365 jrs/an	2016-10-12 10:06:35	Carouge (Pont)	2499889.27	1116003.89
261	  Voie-Centrale	4953.0	4709.0	365 jrs/an	2016-10-12 10:06:34	Jeunes / Quidort	2498835.31	1116704.87
263	Rampe  QUIDORT	4555.0	4069.0	2 mois par an	2016-10-12 10:06:33	Quidort / Jeunes	2498786.07	1116767.18
266	Route de Chancy	5937.0	5529.0	365 jrs/an	2016-10-12 10:06:32.000001	Chancy / Péniches	2498814.51	1117221.08
270	Avenue de l' Amandolier	4595.0	4319.0	2 mois par an	2016-10-12 10:06:30	Amandolier / Chêne	2501875.03	1117236.92
272	Route de Chêne	7334.0	7307.0	365 jrs/an	2016-10-12 10:06:29	Chêne / Amandolier	2501777.02	1117312.97
273	Route de Frontenex	6873.0	6538.0	365 jrs/an	2016-10-12 10:06:29	Frontenex / XXXI-Décembre	2501471.01	1117497.62
274	Tunnel de Ferney	11767.0	11109.0	365 jrs/an	2016-10-12 10:06:28	Ferney (Tunnel)	2498493.37	1122515.75
275	Route de Lausanne	13050.0	11994.0	365 jrs/an	2016-10-12 10:06:28	* Lausanne (Route)	2501061.95	1123470.9
277	Route de Thonon	13008.0	12110.0	non	2016-10-12 10:05:11	Thonon / Pêcheurs	2504025.65	1121248.29
279	Route  Blanche	9251.0	8471.0	365 jrs/an	2016-10-12 10:06:27	* Douane de Thônex Vallard (Route Blanche, T. 154)	2504241.16	1116155.45
280	Rue Adrien- WYSS	665.0	543.0	2 mois par an	2016-10-12 10:36:47	Royer / Acacias	2499347.49	1116356.9
281	Avenue Henri- DUNANT	7485.0	7327.0	2 mois par an	2016-10-12 10:36:46	Dunant/Vignier	2499906.77	1116921.68
283	Route des Acacias	8676.0	8401.0	365 jrs/an	2016-10-12 10:07:00	Acacias / Dussaud	2499403.51	1116364.18
288	Avenue Louis- AUBERT	10079.0	9062.0	365 jrs/an	2016-10-12 10:06:57	Louis-Aubert / Pittard	2501479.13	1116309.96
290	Route de Florissant	6035.0	5478.0	2 mois par an	2016-10-12 10:06:57	Florissant / Aubert	2501560.22	1116479.64
292	Quai de la Poste	4128.0	3791.0	2 mois par an	2016-10-12 10:06:56	Poste / Hollande	2499928.74	1117798.18
293	Route de Verbois	1100.0	1056.0	3 semaines/an	2016-10-12 10:38:26	Verbois (Pont)	2491137.25	1116693.98
295	Route de Meyrin	13547.0	12589.0	3 semaines/an	2016-10-12 10:05:18	Douane de Meyrin (Route de Meyrin)	2492913.43	1121329.68
429	Avenue  WENDT	6555.0	6240.0	2 mois par an	2016-10-12 10:06:46	Wendt / Bourgogne	2498773.09	1118431.56
431	Avenue Louis- CASAÏ	13360.0	12493.0	2 mois par an	2016-10-12 10:06:45	Casaï / Pailly	2497733.04	1119660.05
433	Route du Bois-des-Frères	3891.0	3729.0	2 mois par an	2016-10-12 10:06:45	Bois-des-Frères / Sellières	2496874.32	1117559.26
437	Route de Jussy	10390.0	9587.0	3 semaines/an	2016-10-12 10:06:50	Jussy / Foron	2505236.92	1117017.54
442	Rue des Alpes	10975.0	10487.0	2 mois par an	2016-10-12 10:05:17	Alpes / Pâquis	2500386.61	1118268.74
443	Rue Gabrielle- PERRET-GENTIL	4654.0	4151.0	365 jrs/an	2016-10-12 10:06:54	Perret-Gentil	2500370.44	1116641.39
445	Pont du Val-d'Arve	9807.0	8926.0	365 jrs/an	2016-10-12 10:06:53	Val-d'Arve (Pont)	2500768.97	1115484.34
446	Rue  LOMBARD	6996.0	6116.0	2 mois par an	2016-10-12 10:06:53	Lombard / Sautter	2500446.25	1116737.1
458	Route de Colovrex	3823.0	3582.0	365 jrs/an	2016-10-12 10:37:16	Colovrex / Ferney	2498577.48	1121084.88
465	Tunnel de Confignon	39581.0	36079.0	365 jrs/an	2016-10-12 10:05:23	RNConfignon1502	2495873.44	1114381.88
470	Tunnel de Chèvres	40574.0	37261.0	365 jrs/an	2016-10-12 10:05:21	Aigues-Vertes (Pont)	2494939.09	1117426.39
480	Avenue  PICTET-De-ROCHEMONT	15661.0	14953.0	2 mois par an	2016-10-12 10:06:25	Pictet-de-Rochemeont / Mairie	2501080.21	1117589.44
482	Pont de Chancy	1733.0	1570.0	3 semaines/an	2016-10-12 10:06:25	Chancy (Pont)	2486107.09	1111380.59
484	Route de Sézegnin	662.0	581.0	1 fois tous les 5 ans	2016-10-12 10:06:24.000001	Douane de Sézegnin (route de Sézegnin)	2489593.86	1111242.63
486	Route de Rougemont	3193.0	2627.0	3 semaines/an	2016-10-12 10:06:23	Douane de Soral II (Route de Rougemont)	2491618.69	1110445.7
488	Route des Mangons	1477.0	1311.0	1 fois tous les 5 ans	2016-10-12 10:06:22	Douane de Soral I (route des Mangons)	2492470.23	1111082.34
490	Route de Thérens	2190.0	1851.0	1 fois tous les 5 ans	2016-10-12 10:06:21	Douane de Certoux (route de Thérens)	2494710.91	1112188.86
492	Route de Pierre-Grand	2415.0	2091.0	1 fois tous les 5 ans	2016-10-12 10:38:43.000001	Douane de Pierre-Grand (route de Pierre-Grand)	2500416.96	1111911.67
494	Route de Bossey	2915.0	2552.0	3 semaines/an	2016-10-12 10:38:41	Douane de Bossey (Route de Bossey)	2501315.0	1112287.71
496	Route de Cornière	962.0	912.0	1 fois tous les 5 ans	2016-10-12 10:05:19	Douane de Cornière (route de Cornière)	2507436.22	1117739.59
498	Route de Cara	1978.0	1811.0	1 fois tous les 5 ans	2016-10-12 10:38:40	Douane de Cara (route de Cara)	2508276.22	1117935.5
500	Route de Juvigny	1029.0	916.0	1 fois tous les 5 ans	2016-10-12 10:38:38	Douane de Renfile (route de Juvigny)	2511434.06	1119874.86
502	Route de Monniaz	2712.0	2275.0	1 fois tous les 5 ans	2016-10-12 10:38:36	Douane de Monniaz (route de Monniaz)	2512784.34	1121740.31
504	Route de Gy	1090.0	946.0	1 fois tous les 5 ans	2016-10-12 10:38:34	Douane de Gy (route de Gy)	2509151.22	1123003.8
506	Route de Covéry	1416.0	1180.0	1 fois tous les 5 ans	2016-10-12 10:38:33	Douane de Veigy-Covery (route de Covéry)	2508301.26	1124020.64
508	Route de Veigy	1052.0	930.0	1 fois tous les 5 ans	2016-10-12 10:38:31	Douane de Veigy-Corsier (route de Veigy)	2508241.58	1124098.59
510	Pont de Peney	6851.0	5620.0	3 semaines/an	2016-10-12 10:38:30	Peney (Pont)	2492384.22	1116870.77
512	Route du Mandement	1132.0	944.0	1 fois tous les 5 ans	2016-10-12 10:38:28	Douane de Dardagny (Mandement)	2488345.97	1117104.44
524	Quai du Général- GUISAN	19832.0	19117.0	365 jrs/an	2016-10-12 10:05:04	Versonnex / Fatio	2500819.23	1117680.49
529	Avenue Louis- PICTET	8503.0	7700.0	2 mois par an	2016-10-12 10:05:02	Louis-Pictet / ouest Nant-d'Avril	2495612.34	1119575.92
530	Route du Nant-d'Avril	17006.0	14749.0	2 mois par an	2016-10-12 10:05:02	Nant-Avril / est Pictet	2495691.26	1119606.97
533	Route des Franchises	5932.0	5586.0	2 mois par an	2016-10-12 10:05:01	Franchises / ECG Dunant	2498160.09	1118870.59
536	Route de Pré-Bois	6555.0	6012.0	365 jrs/an	2016-10-12 10:05:00	Pré-Bois / Coquelicots	2496466.35	1119730.68
540	Tunnel des Communes-Réunies	7891.0	7283.0	2 mois par an	2016-10-12 10:04:59	Communes-Réunies / Trémie	2498366.58	1114756.82
542	Avenue des Communes-Réunies	5917.0	5465.0	2 mois par an	2016-10-12 10:04:58.000001	Communes-Réunies / Palettes	2498379.31	1114721.34
546	Chemin des Palettes	7004.0	6362.0	2 mois par an	2016-10-12 10:04:57	Palettes / Communes-Réunies	2498340.85	1114668.23
