	road_name
222	Quai du Général-Guisan 40-42
223	Boulevard des Promenades
224	Unnamed Road
225	Chemin de la Bise
226	Avenue du Devin-du-Village 17-9
227	Rue François-Diday
228	Route de Verbois 42
229	Route de Saint-Julien
230	Route de Saint-Julien 18-24
231	Route de Meyrin 148
232	Route des Batailleux
233	Route de Pré-Bois
234	:ERROR STATUS: NOT_FOUND
235	Route de Ferney
236	Route du Bois-des-Frères
237	Route des Acacias 18-8
238	Avenue Louis-Casaï 70
239	Rue Jacques-Grosselin
240	Place des Casemates
241	Chemin de Pinchat
242	Chemin de la Gradelle 35-11
243	Chemin Malombré 5-1
244	Avenue William-Favre 10-16
245	Rue François-Le-Fort
246	Route de Villette 63-55
247	Chemin de la Colline 37
248	Place Sigismond
249	Rue de Carouge 51-47
250	Boulevard James-Fazy
251	Tranchée Couverte d'Arare
252	Chemin du Gué
253	Rue de la Terrassière 14-22
254	Rue Michel-Simon
255	Rue de la Rôtisserie 6-8
256	Quai Gustave-Ador
257	Quai Ernest-Ansermet
258	Rue des Lattes 60-62
259	Rue du Vieux-Moulin
260	Avenue du Mail 24
261	Avenue de Champel 45-49
262	Boulevard du Pont-d'Arve 39-31
263	Route du Bois-des-Frères
264	Route de Laconnex
265	Rue de Chantepoulet 8-12
266	Rue François-Bonivard 8-12
267	Pregny-Chambésy
268	Route de Peney
269	Rue Marie-Brechbuhl 7
270	Centre-Plainpalais-Acacias
271	Rue Gilbert 12
272	Quai Wilson
273	Rue des Deux-Ponts 2-4
274	Route des Acacias 20
275	Rue Ferdinand-Hodler
276	Avenue A.-M.-Mirany 36
277	Unnamed Road
278	Rue Le-Royer 25-13
279	Route de Chêne
280	Boulevard Georges-Favon 27-23
281	Route du Grand-Lancy
282	Route de Meyrin 70
283	Route de Vernier
284	L'Ancienne-Route
285	Avenue Auguste-François-Dubois 37-31
286	Avenue Louis-Casaï
287	Avenue de Thônex
288	Route de Saint-Julien 129-127
289	Route du Pont Butin
290	Quai Gustave-Ador
291	Avenue de Baptista
292	Rue du Trabli 8-16
293	E62
294	Rue Joseph-Pasquier
295	Place de Cornavin 10-22
296	Cours de Rive 10-16
297	Avenue Sainte-Cécile
298	La Voie-Creuse 3
299	Route de Malagnou
300	Rue de Montbrillant
301	Route de Ferney
302	Rue des Alpes 22-24
303	Rue du 31 Décembre 27-17
304	Route de l'Allondon 27-9
305	Avenue de la Praille 41-33
306	Rue de Genève 75-67
307	Quai du Mont-Blanc 19
308	Rue François-Versonnex 8
309	Rue Faller
310	Boulevard des Philosophes 17
311	Chemin Edouard-Sarasin 1
312	Rue Emile-Nicolet 7
313	Avenue de Bel-Air 70-86
