originalIndex	location.latitude	location.longitude	placeId
72	46.21410935525811	6.1024303072877	ChIJ-3Z-LaFkjEcRFmgGfrPtKo0
73	46.19761762508658	6.151687453824278	ChIJUygBujJljEcRBY3_MSxthR8
74	46.20039000942905	6.15589759515787	ChIJHbRclDNljEcRAfb9H9hjAlU
75	46.21957674317858	6.0912576211589355	ChIJub4AgV1jjEcRQruNFIsLadM
76	46.202871860159206	6.152053815831531	ChIJmxWM4TFljEcRCLs2iFYK7oY
77	46.187181940469934	6.115596183637645	ChIJiw91iDh7jEcRCts6XSr0DWU
78	46.225560281141675	6.087043650067089	ChIJbRucIG9jjEcRyNZa1pQdBYs
79	46.20806162002515	6.163867872595735	ChIJowOwejhljEcRZfWmGoxZpIg
80	46.202763857846854	6.131607837277107	ChIJAfTCJdJkjEcR3o1J1tmu6m8
81	46.21157759755426	6.107519915308406	ChIJQdWOIKVkjEcRMDWioKB1RDk
82	46.196868913531056	6.1401332328529925	ChIJ7X-cW9V6jEcRNmH1A4Un6-M
83	46.19591990743295	6.1290887000129555	ChIJr2xVpS17jEcRgTKB3bobo3Y
84	46.2518350638454	6.139207859654668	ChIJzwGoTkZkjEcRefytQprxruM
85	46.16801594326205	6.117001280980141	ChIJyTGGgA57jEcRAB43BSq-1RY
86	46.19760736707792	6.209959811847423	ChIJB3FW895vjEcREFqOekr6nuw
87	46.18137915675014	6.119560294446821	ChIJnZqh2D17jEcRkFT3bOhKgF0
88	46.192156408637516	6.14472754998118	ChIJAy-QUNF6jEcREDUGJlZNw-g
89	46.19850937912549	6.17449318116031	ChIJ8Vu8iVJljEcRwMOKuc7giJs
90	46.191475043849444	6.13599545329155	ChIJUauNpSl7jEcRqrczk0_Wlok
91	46.18633826561415	6.13942153359423	ChIJxcNlUNh6jEcRSaN22eSqMIM
92	46.201386705330364	6.155588683313151	ChIJoxei3DNljEcRnlLr0JUSEyE
93	46.195075762957735	6.164963513961868	ChIJqSvj5rR6jEcRTPXmC_P-Ago
94	46.19066269540453	6.138524227531885	ChIJf8J4K9Z6jEcRILfgPGJQkl0
95	46.18832228919226	6.152717086280368	ChIJjzIyb896jEcR63TmBDC5Lbg
96	46.20750848340936	6.121770327633082	ChIJ6Z0Pe8hkjEcREJaYny9A5iM
97	46.21388345425586	6.089552379015409	ChIJ8b6mmk9jjEcRxWWprnnRfwU
98	46.20738818186127	6.148227735215408	ChIJo-DG8CVljEcRPOenEnAEMkw
99	46.2084056521952	6.141603880312023	ChIJm4cLDdhkjEcRBCLHqK-OGlg
100	46.17920088645538	6.084316646705627	ChIJg42wIJl8jEcRYv-5bY5UT24
101	46.211304287449025	6.111236211973371	ChIJW4JA_bpkjEcRKou2u62ej7U
102	46.190756934723865	6.143664870072619	ChIJz9lk09Z6jEcRcOL-kPcZFR4
103	46.185966786683636	6.146515425189434	ChIJsbBp79p6jEcRhPbY6U-psuE
104	46.166834496046654	6.182184105752823	ChIJOxjDXndwjEcRyOXPdqH_NE0
105	46.16614604863286	6.113349111819506	ChIJgaqAhwx7jEcRQJPnKyTbzi8
106	46.255980505394646	6.140610296661368	ChIJPynJBDhkjEcRMJy0jMTo93I
107	46.27518309472052	6.168851090459237	ChIJ97-en3dmjEcRELFDIEUqcN4
108	46.20344066576315	6.152962415476109	ChIJjwalxDFljEcREKIdTCFagck
109	46.19696658204088	6.1493131996745705	ChIJuYM7ttJ6jEcR2vm27olGFHQ
110	46.19640320472055	6.195505307259846	ChIJL9jbzOJvjEcRrrZNPhPnjiU
111	46.22144245411965	6.111570960235547	ChIJJ-6id5dkjEcRIFheDAZmEJQ
112	46.20942574400958	6.134401870503912	ChIJAerpWtpkjEcRwNxEtMgR6HE
113	46.195589122332294	6.141300253674797	ChIJVx-6B9V6jEcRBhw-BsXKN-M
114	46.19376195303753	6.128149516986371	ChIJoRJz_C17jEcREppw3AU_sYQ
115	46.20126934409064	6.131574192134919	ChIJ-eYBTtJkjEcRWu04gRT8xwg
116	46.26950269803824	6.218081834297478	ChIJ69q5QUtvjEcRXqlHozxYGY4
117	46.2566623	6.1563311999999994	ChIJ253lS8pljEcRLZ-KRogk91A
118	46.20001955710305	6.153577354659651	ChIJW5tAUDJljEcRgCkdahaH2z8
119	46.225904145862145	6.0837018083361185	ChIJ-YmKHmxjjEcRVM_jbU_xa1Y
120	46.200620721642984	6.137659791017311	ChIJvWx2AdVkjEcRCtSfYlY5L1M
121	46.17964881447779	6.078654814482393	ChIJEyugn5d8jEcRZ8q5q9Jfsz8
122	46.182976217069466	6.119837198919554	ChIJPZj2nD57jEcRdqXtUvrfbDg
123	46.22156594870044	6.098587980007781	ChIJX70qs2FjjEcRFY7wvsj_-eU
124	46.21296250227934	6.134141992685564	ChIJG2WiiNxkjEcRnntz-ApaOKI
125	46.17773881555277	6.124245847097666	ChIJ6dd-KRh7jEcR9PN546zDLo0
126	46.2214957	6.1224224	ChIJi5cLzpRkjEcRCrDOqv1cXd4
127	46.185778003126586	6.109961593084085	ChIJT4fdukZ7jEcRyF6W-XHtauA
128	46.24900702766965	6.150850482947979	ChIJk5KsNbNljEcRhDjDBGwSSR0
129	46.1692998122895	6.119656978850439	ChIJWdqdNA57jEcRIGv7aYgrPRw
130	46.18012302750252	6.11980782849924	ChIJaT6U_D17jEcRkOTsGhpSZi0
131	46.18299076103534	6.141363169049089	ChIJyY95sN56jEcRMNk6XjVt_HE
132	46.171777512940174	6.124739764529608	ChIJrauI8Rp7jEcRl9zlDu6Hwhs
133	46.237367400000004	6.078843699999998	ChIJ8yfY4gpjjEcRgOhdOlpm024
134	46.18133277847001	6.145878868300438	ChIJnysXw9x6jEcR9jLE2unD20E
135	46.229765405526024	6.061742839126193	ChIJGz2gvRxjjEcRYj6XDdDEQa0
136	46.21917811162608	6.114694699556326	ChIJ24QFPJZkjEcRp7846Pm78SQ
137	46.22013132513344	6.136642335141409	ChIJCep_5OZkjEcRQChXzqxFg8E
138	46.2042786572495	6.155084358028547	ChIJxZ-Q_zBljEcREJA7SS8QIGk
139	46.195123567381444	6.193225729730654	ChIJs8rPYf1vjEcRxq1MzpPQyCk
140	46.220237514279646	6.140643672368412	ChIJNZGjFuFkjEcRQDPHtie_kRE
141	46.1946098790123	6.141497039536018	ChIJicF5sdV6jEcRMq7tJyvu0G8
142	46.22351925781525	6.145177887011107	ChIJKa35eOJkjEcR7uAE8buDHb8
143	46.20411073602707	6.141280535758476	ChIJX6Hd2ylljEcR0Gz7UnkaBZU
144	46.18363254912744	6.120344711622682	ChIJGz3cGzx7jEcRGCWoMLSROO0
145	46.21252179480595	6.131969452301523	ChIJyVpzVcNkjEcRxH8HRhhNHIw
146	46.21159832841741	6.228895378410586	ChIJXdIxZcpvjEcRragsmn6Ku5Y
147	46.19360556570155	6.203599430956474	ChIJg3m-zh9wjEcR7PXnf5dAeRk
148	46.19449611736064	6.15210950265394	ChIJ93Bpps16jEcRZrv_Sv5HICo
149	46.19715018396149	6.139871917388727	ChIJ7X-cW9V6jEcRNmH1A4Un6-M
150	46.24275805870831	6.124496558528096	ChIJp1PXIGdkjEcR2WqaDl53sYk
151	46.192547013048255	6.142596269805111	ChIJb1rkl9Z6jEcRS_X7KtrzERk
152	46.21139757396644	6.229345319501377	ChIJh7wBjMpvjEcRdGu5a4LgILA
153	46.19775734005634	6.1207078473976395	ChIJhQS-2DR7jEcRNAMHIIZORg8
154	46.21914472690731	6.103373087587821	ChIJuZ8XY59kjEcRXw_lMk6DqsM
155	46.214188243204696	6.130040292849377	ChIJB0aYEcNkjEcRlX48yQJ67Ug
156	46.223501573567916	6.101814369469676	ChIJ_S4Kwp1kjEcR-0HoppChctY
157	46.198910276954734	6.172814420217006	ChIJb74qm01ljEcRgK8Q0woq4cI
158	46.19666860418435	6.194284834754348	ChIJz7IrO_1vjEcRXBVidEntgcw
159	46.156611696997004	6.13957267654405	ChIJE9hFBFd6jEcR_sYyEmdWj0A
160	46.18922600201417	6.119435883163485	ChIJz6Ir2Tl7jEcR3qxlVmBqW_4
161	46.195447158754675	6.163186608562306	ChIJ-84sPrV6jEcRgnyW1-9nmII
162	46.19434293048035	6.142674278012705	ChIJDR2CRtR6jEcRsN7qJzK7BX4
163	46.22111359565965	6.0822354232366225	ChIJoQwZZ2pjjEcRhzrNyrnXgfM
164	46.216397673034635	6.2519939370782724	ChIJaybsxUNujEcRnIze4zzkc_Y
165	46.19750102276119	6.142013822526141	ChIJp_vFLNV6jEcRstdAG-8NiXo
166	46.21906700260398	6.122158762926111	ChIJs3h4UpVkjEcRDP1coRdZkMw
167	46.19184539274045	6.1318362584021715	ChIJFeSJ7y57jEcRgqsgICbIsTU
168	46.21078912076495	6.152006274993428	ChIJG95XkSRljEcR4DAxV7c7FQg
169	46.19073679762626	6.144302824228068	ChIJj6TQKdF6jEcRcd1VvaqXLmM
170	46.16326229626262	6.104026438132521	ChIJe-jNZHZ7jEcR4ce0M6Z_sbU
171	46.21118139534809	6.127033620028444	ChIJw9gSOsRkjEcR0ATyKzYEtys
172	46.168285406380235	6.095452912167924	ChIJryRglnt7jEcR_LqjMbaMv9U
173	46.17250258126268	6.1261707483361345	ChIJzXserBt7jEcRFFdD2xqbUSA
174	46.18733314564201	6.104914384795385	ChIJV3Xu20R7jEcR8C1FmKJgqV8
175	46.196046896955494	6.143503488112871	ChIJW67Gk9R6jEcRNnRv_oj48c0
176	46.21159337378229	6.147277447312691	ChIJGwDQsyZljEcRs9hkJ_OBxz0
177	46.248768324904376	6.2177813360767145	ChIJaQIJ1WpvjEcRM3Tn6X2u3Jg
178	46.195638526428	6.142437063715296	ChIJV2Zk4tR6jEcRsNbzgq3d1co
