	index	ID_ACCIDENT	DATE_	GROUPE_ACCIDENT	COMMUNE	CONDITIONS_LUMINEUSES	CONDITIONS_METEO	CONSEQUENCES	COOR_X	COOR_Y	ETAT_ROUTE	GENRE_ROUTE	HEURE	JOUR	LOCALITE	NB_ENFANTS_IMPLIQUES	NB_ENFANTS_ECOLE	NB_BLESSES_LEGERS	NB_BLESSES_GRAVES	NB_TUES	NB_PIETONS	NB_BICYCLETTES	NB_VAE_25	NB_VAE_45	NB_CYCLOMOTEURS	NB_MOTOS_50	NB_MOTOS_125	NB_MOTOS_11KW	NB_VOITURES_TOURISME	NB_VOITURES_LIVRAISON	NB_CAMIONS	NB_BUS	NB_TRAM	E	N	YEAR	MONTH	DAY	CAUSE_g	CAUSE_sg	road_name
27	1919	1623651.0	2015-07-15	Accident par tamponnement	Genève	Jour	Beau	Avec blessés légers	6.167303022610272	46.20930690472592	Sèche	Route secondaire	1899-12-30 20:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2501885.0	1118336.0	2015	7	15	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Stop'	Quai Gustave-Ador 68-78
28	1920	1644796.0	2015-09-04	Accident par tamponnement	Genève	Jour	Beau	Avec blessés légers	6.1285263133109025	46.20838649470456	Sèche	Route principale	1899-12-30 16:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2498891.0	1118283.0	2015	9	4	Inattention et distraction	Manque d'attention momentané	Rue de Lyon
29	1921	1657976.0	2015-10-07	Accident impliquant des piétons	Genève	Jour	Beau	Avec blessés légers	6.121723706758244	46.20782147262484	Sèche	Route secondaire	1899-12-30 14:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2498365.0	1118229.0	2015	10	7	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Cédez le passage'	Promenade de l'Europe
30	1922	1643776.0	2015-09-02	Accident en s'engageant sur une route	Vésenaz	Jour	Beau	Avec blessés légers	6.2069342114979955	46.2377712708127	Sèche	Route secondaire	1899-12-30 12:00:00	Mercredi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2504993.0	1121451.0	2015	9	2	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Cédez le passage'	Chemin des Bossonailles 23-21
31	1923	1657315.0	2015-10-05	Dérapage ou perte de maîtrise	Vernier	Nuit	Beau	Autres	6.081364951615231	46.214792688327634	Sèche	Route principale	1899-12-30 23:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2495264.0	1119057.0	2015	10	5	Inattention et distraction	Distraction par le maniement du téléphone	Route de Peney
32	1924	1661823.0	2015-10-16	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Genève	Jour	Couvert	Autres	6.14896926361343	46.19442503010964	Sèche	Route principale	1899-12-30 16:00:00	Vendredi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2500443.0	1116705.0	2015	10	16	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	Rue Gabrielle-Perret-Gentil
33	1974	1571972.0	2015-03-15	Accident en s'engageant sur une route	Genève	Jour	Couvert	Avec blessés légers	6.137198490706559	46.208810741654794	Sèche	Route secondaire	1899-12-30 17:00:00	Dimanche	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2499561.0	1118319.0	2015	3	15	Inattention et distraction	Manque d'attention momentané	Rue Jean-Gutenberg 12-14
34	1975	1577469.0	2015-03-28	Accident par tamponnement	Perly	Jour	Couvert	Autres	6.0841227177886905	46.15766827868248	Sèche	Route secondaire	1899-12-30 07:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2495367.0	1112704.0	2015	3	28	Inattention et distraction	Manque d'attention momentané	Route de Base 74-78
35	1976	1573562.0	2015-03-19	Accident par tamponnement	Thônex	Jour	Beau	Autres	6.212916989922116	46.19842182031872	Sèche	Autre	1899-12-30 07:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2505386.0	1117070.0	2015	3	19	Autres mouvements dans la circulation	Marche arrière imprudente	Route d'Ambilly 7-1
36	1977	1553641.0	2015-01-28	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Genève	Nuit	Couvert	Autres	6.150844743822407	46.203857123766326	Sèche	Route principale	1899-12-30 06:00:00	Mercredi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2500605.0	1117751.0	2015	1	28	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	Quai du Général-Guisan 28
37	1978	1572267.0	2015-03-16	Accident impliquant des piétons	Genève	Jour	Beau	Avec blessés légers	6.13007654877677	46.21343372797655	Sèche	Route principale	1899-12-30 11:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2499020.0	1118842.0	2015	3	16	Influence / comportement du piéton	Traversée imprudente de la route (en marchant)	Rue de la Servette 93-91
38	1979	1577452.0	2015-03-28	Dérapage ou perte de maîtrise	Vésenaz	Nuit	Beau	Autres	6.2058443676525545	46.24523565527216	Sèche	Route principale	1899-12-30 05:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2504922.0	1122282.0	2015	3	28	Etat / intention du conducteur	Influence de l'alcool	Route de Thonon 109
39	1980	1558617.0	2015-02-10	Dérapage ou perte de maîtrise	Versoix	Aurore / crépuscule	Autre	Autres	6.141849719050037	46.27733030392614	Autre	Autoroute	1899-12-30 19:00:00	Mardi	A l'extérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2500046.0	1125929.0	2015	2	10	Inattention et distraction	Manque d'attention momentané	E62
40	1981	1568888.0	2015-03-08	Accident par tamponnement	Meyrin	Jour	Beau	Autres	6.0782822284538165	46.22715338689365	Sèche	Route principale	1899-12-30 17:00:00	Dimanche	A l'extérieur d'une localité	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2495050.0	1120435.0	2015	3	8	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède	Route de Meyrin 265-263
41	1982	1606141.0	2015-06-05	Accident par tamponnement	Petit-Lancy	Jour	Beau	Avec blessés légers	6.116944174144117	46.17573671055524	Sèche	Route principale	1899-12-30 18:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2497936.0	1114669.0	2015	6	5	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède	Avenue du Curé Baud
