NOM_ZONE;TYPE_ZONE;ETAT;LIMITE_VITESSE;ANNEE_MISE_EN_SERVICE;SHAPE.AREA;SHAPE.LEN
Chemin PORTIER;Limitation 30 km/h;En place;30;1992;17375.1546;655.204881333922
Chemin de Crotte-au-Loup;Zone de rencontre (20);En place;20;2017;22852.5471;609.065487546351
Chemin des Rasses;Zone 30;En place;30;2017;328774.67605;2895.82979680903
Marc Charrot;Zone 30;En place;30;2010;60746.81145;977.0178838663941
Perly;Zone 30;En place;30;2016;45827.7115;1184.9054154913201
Chemin du Levant;Zone de rencontre (20);En place;20;2017;14970.9179;490.149072351574
Chemin des Vaulx;Zone de rencontre (20);En place;20;;62739.9416;1166.8012073398102
Rue des Délices;Zone 30;En place;30;2017;4338.66955;520.928150199456
Confignon;Zone de rencontre (20);En place;20;2013;32132.00415;873.573795930346
Confignon;Zone 30;En place;30;2004;123221.78105;1839.63983490349
Certoux;Zone 30;En place;30;2017;25263.00065;847.2234467793521
Primevères;Zone de rencontre (20);En place;20;2017;20084.3281;567.594684527039
Perly-Village;Zone de rencontre (20);En place;20;2017;95728.1198;1520.08794047634
Planta - Hauts Crêts;Zone 30;En place;30;2017;227363.2476;2533.7063888174202
