NO_SIREDO;NO_POINT_MESURE;CODE_VOIE;NOM_VOIE;DIRECTION;TJOM;TJOM_ANNEE;TJM;TJM_ANNEE;DISPONIBILITE;ANGLE;PRESELECTION;ID_GM_TRONCON;CAPTEUR;DATEDT;NOM_POINT_DE_MESURE;E;N;HPM;HPS
6025.1;22003;10731;Avenue de France;;7303;2015;6946;2015;365 jrs/an;115.0;Toutes_Directions;117568.0;PCRT;2016-10-12 10:05:43;France / Montbrillant;2499845.81;1119692.14;;
6027.1;22303;13617;Rue de Lausanne;;7659;2015;7617;2015;2 mois par an;20.0;Toutes_Directions;110997.0;PCRT;2016-10-12 10:05:42;Lausanne / Monthoux;2500116.50;1118570.15;;
6027.2;22304;13617;Rue de Lausanne;;4470;2015;4445;2015;2 mois par an;200.0;Toutes_Directions;110997.0;PCRT;2016-10-12 10:05:41.000001;Lausanne / Monthoux;2500107.30;1118576.83;;
6022.1;34871;13617;Rue de Lausanne;;15327;2015;14585;2015;2 mois par an;30.0;Toutes_Directions;110080.0;PCRT;2016-10-12 10:05:41.000001;Lausanne / Sécheron;2500512.84;1119484.37;;
6022.2;34851;13617;Rue de Lausanne;;13167;2015;12838;2015;2 mois par an;210.0;Toutes_Directions;110080.0;PCRT;2016-10-12 10:05:41.000001;Lausanne / Sécheron;2500500.78;1119479.50;;
2005.2;586;90433;Pont du Mont-Blanc;;34580;2015;32942;2015;365 jrs/an;155.0;Toutes_Directions;114704.0;PCRT;2016-10-12 10:05:40;Mont-Blanc (pont);2500485.86;1117906.15;;
2005.1000000000001;590;90433;Pont du Mont-Blanc;;31890;2015;31156;2015;365 jrs/an;332.0;Toutes_Directions;114704.0;PCRT;2016-10-12 10:05:40;Mont-Blanc (pont);2500499.46;1117902.85;;
15.1;1224;90360; Ponts de l' Ile;;2561;2015;2286;2015;365 jrs/an;342.0;Toutes_Directions;117942.0;PCRT;2016-10-12 10:05:09;Île;2499979.51;1117956.66;;
15.200000000000001;1223;90360; Ponts de l' Ile;;1684;2015;1506;2015;365 jrs/an;162.0;Toutes_Directions;117942.0;PCRT;2016-10-12 10:05:09;Île;2499970.75;1117954.45;;
2017.1000000000001;22260;90190;Pont de la Coulouvrenière;;12683;2015;12364;2015;365 jrs/an;352.0;Toutes_Directions;110134.0;PCRT;2016-10-12 10:05:08;"Coulouvrenière (pont)
";2499764.12;1117830.71;;
2017.2;22261;90190;Pont de la Coulouvrenière;;17515;2015;16926;2015;365 jrs/an;173.0;Toutes_Directions;110134.0;PCRT;2016-10-12 10:05:08;Coulouvrenière (pont);2499753.56;1117830.05;;
6124.2;8404;20648;Quai du Rhône;;2282;2015;2092;2015;2 mois par an;80.0;Toutes_DIrections;112606.0;PCRT;2016-10-12 10:05:28;Deux-Ponts / Saules;2499134.58;1117639.76;;
6124.1;8403;20648;Quai du Rhône;;3894;2015;3632;2015;2 mois par an;260.0;Toutes_DIrections;112606.0;PCRT;2016-10-12 10:05:28;Deux-Ponts / Saules;2499134.93;1117650.09;;
6123.2;11111;22993;Rue du Stand;;1306;2015;1258;2015;2 mois par an;80.0;Toutes_DIrections;112604.0;PCRT;2016-10-12 10:05:27;Stand / Tir;2499509.03;1117701.26;;
6123.1;11112;22993;Rue du Stand;;3009;2015;2823;2015;2 mois par an;260.0;Toutes_DIrections;112604.0;PCRT;2016-10-12 10:05:27;Stand / Tir;2499507.63;1117712.49;;
3186.2000000000003;3187;90824;Pont de Vessy;;4005;2015;3554;2015;3 semaines/an;290.0;Toutes_DIrections;111578.0;PERIOD;2016-10-12 10:05:27;Vessy (Pont);2501284.28;1115204.70;;
3186.1;3186;90824;Pont de Vessy;;4156;2015;3740;2015;3 semaines/an;110.0;Toutes_DIrections;111578.0;PERIOD;2016-10-12 10:05:26;Vessy (Pont);2501281.99;1115196.00;;
6094.1;25606;07986;Chemin de la Croisette;;1324;2015;1210;2015;2 mois par an;350.0;Tourner_Droite;119242.0;PCRT;2016-10-12 10:05:51;Croisette / Vernier;2496195.15;1119544.36;;
6094.3;25651;60119;Carrefour de la Croisette;;1135;2015;1064;2015;2 mois par an;200.0;Tourner_Gauche;111354.0;PCRT;2016-10-12 10:05:48;Croisette / Vernier;2496186.43;1119545.07;;
6094.2;25603;60119;Carrefour de la Croisette;;363;2015;334;2015;2 mois par an;240.0;Tourner_Droite;111354.0;PCRT;2016-10-12 10:05:49.000001;Croisette / Vernier;2496178.24;1119551.30;;
6095.1;27516;;;;1219;2015;1167;2015;2 mois par an;290.0;Toutes_DIrections;;PCRT;2016-10-12 10:05:49.000001;Ikea / Pré-bois;2496378.48;1119554.46;;
6095.2;27515;;;;1519;2015;1424;2015;2 mois par an;110.0;Toutes_DIrections;;PCRT;2016-10-12 10:05:50;Ikea / Pré-bois;2496381.69;1119566.31;;
6099.2;21172;15482;Route de Meyrin;;24657;2015;22920;2015;365 jrs/an;110.0;Toutes_DIrections;118979.0;PCRT;2016-10-12 10:05:09;Meyrin / Mategnin;2495788.65;1120127.07;;
6099.1;21171;15482;Route de Meyrin;;26172;2015;24400;2015;365 jrs/an;290.0;Toutes_DIrections;118979.0;PCRT;2016-10-12 10:06:38;Meyrin / Mategnin;2495791.32;1120138.49;;
6097.2;27871;15482;Route de Meyrin;;5106;2015;4785;2015;2 mois par an;113.0;Toutes_DIrections;116503.0;PCRT;2016-10-12 10:06:38;Meyrin  (Bretelle) / Pré-Bois;2496450.79;1119832.99;;
6097.1;27816;15482;Route de Meyrin;;5567;2015;5285;2015;2 mois par an;283.0;Toutes_DIrections;119110.0;PCRT;2016-10-12 10:06:37;Meyrin  (Bretelle) / Pré-Bois;2496468.71;1119877.00;;
6096.2;59505;15482;Route de Meyrin;;7189;2015;6735;2015;2 mois par an;105.0;Toutes_DIrections;110116.0;PCRT;2016-10-12 10:06:37;Meyrin (Bretelle) / Blandonnet;2496567.62;1119793.26;;
6096.1;59506;15482;Route de Meyrin;;6658;2015;5876;2015;2 mois par an;300.0;Toutes_DIrections;110122.0;PCRT;2016-10-12 10:06:37;Meyrin (Bretelle) / Blandonnet;2496576.65;1119829.38;;
6089.2;4715;16217;Avenue Giuseppe- MOTTA;;6333;2015;5605;2015;2 mois par an;225.0;Toutes_Directions;115053.0;PCRT;2016-10-12 10:06:43;Motta / Nations;2499567.69;1119705.07;;
6089.1;4712;16217;Avenue Giuseppe- MOTTA;;5211;2015;4625;2015;2 mois par an;45.0;Toutes_Directions;115053.0;PCRT;2016-10-12 10:06:43;Motta / Nations;2499573.05;1119699.94;;
6092.1;56019;17167;Avenue de la Paix;;2849;2015;2568;2015;2 mois par an;270.0;Toutes_Directions;115307.0;PCRT;2016-10-12 10:06:42;Paix / Nations Est;2499818.60;1119870.13;;
6092.2;56022;17167;Avenue de la Paix;;5091;2015;4406;2015;2 mois par an;90.0;Toutes_Directions;115307.0;PCRT;2016-10-12 10:06:42;Paix / Nations Est;2499818.97;1119860.89;;
6091.1;56008;17167;Avenue de la Paix;;3971;2015;3322;2015;2 mois par an;300.0;Toutes_Directions;110090.0;PCRT;2016-10-12 10:06:41;Paix / Nations Ouest;2499680.76;1119912.62;;
6091.2;56086;17167;Avenue de la Paix;;5617;2015;4620;2015;2 mois par an;120.0;Toutes_Directions;110090.0;PCRT;2016-10-12 10:06:41;Paix / Nations Ouest;2499673.37;1119906.34;;
6066.1;24682;25291;Route de Veyrier;;6621;2015;6015;2015;2 mois par an;114.0;Toutes_Directions;120532.0;PCRT;2016-10-12 10:06:40.000001;Veyrier / Pont Val-d'Arve;2500698.21;1115521.17;;
6066.2;24685;25291;Route de Veyrier;;6891;2015;6261;2015;2 mois par an;294.0;Toutes_Directions;120532.0;PCRT;2016-10-12 10:06:39;Veyrier / Pont Val-d'Arve;2500706.49;1115523.11;;
6064.1;24651;25291;Route de Veyrier;;9663;2015;8672;2015;2 mois par an;195.0;Toutes_Directions;120531.0;PCRT;2016-10-12 10:06:40.000001;Veyrier / Nord Val-d'Arve;2500729.45;1115466.06;;
6064.2;24655;25291;Route de Veyrier;;9641;2015;8745;2015;2 mois par an;15.0;Toutes_Directions;120531.0;PCRT;2016-10-12 10:06:40.000001;Veyrier / Nord Val-d'Arve;2500734.28;1115460.44;;
6063.1;24681;59790;Route du Val-d'Arve;;12875;2015;11643;2015;2 mois par an;106.0;Toutes_Directions;110421.0;PCRT;2016-10-12 10:06:39;Val-d'Arve / Veyrier;2500665.47;1115391.66;;
0.0;m351;10057;Route de Ferney;;;;;;non;210.0;Toutes_Directions;115331.0;PCRT;2010-04-12 10:50:27;Ferney / Peyrot;2498562.62;1121883.05;;
6024.1;22001;10731;Avenue de France;;;2012;;2012;sur demande;285.0;Toutes_DIrections;117568.0;PCRT;2016-09-13 15:08:21;France / Montbrillant;2499855.29;1119699.47;;
103.10000000000001;1221;24368;Quai  TURRETTINI;;;2012;;2012;2 mois par an;80.0;Toutes_Directions;119115.0;PCRT;2016-09-13 15:08:17;Turretini;2499881.99;1117947.33;;
0.0;2704;14265;Rue de Lyon;;;;;;non;70.0;Toutes_Directions;111476.0;PCRT;2010-04-12 10:48:21.000001;Lyon / Délices;2499478.66;1118296.01;;
0.0;7101;00086;Route des Acacias;;;;;;non;50.0;Toutes_Directions;120037.0;PCRT;2010-04-12 10:46:57;Acacias / Gabelle;2499132.69;1116173.39;;
0.0;7102;00086;Route des Acacias;;;;;;non;230.0;Toutes_Directions;120037.0;PCRT;2010-04-12 10:53:23;Acacias / Gabelle;2499129.68;1116182.73;;
0.0;6905;08869;Avenue Henri- DUNANT;;;;;;non;0.0;Toutes_Directions;115191.0;PCRT;2010-04-12 10:51:16.000001;Henri-Dunant / XXIII-Cantons;2499902.23;1116825.45;;
75.10000000000001;1714;07129;Rue de Cornavin;;;;;;non;15.0;Toutes_Directions;118066.0;PCRT;2010-04-12 10:57:17;Cornavin / XXII cantons;2499971.82;1118226.02;;
22.1;90351;00272;Rue des Alpes;;;;;;Suspendu;310.0;Toutes_Directions;117278.0;PCRT;2010-04-12 10:52:38;Alpes / Pradier;2500123.55;1118478.54;;
0.0;1570;90433;Pont du Mont-Blanc;;;;;;non;145.0;Toutes_Directions;114704.0;PCRT;2011-07-21 15:03:15;Mont-Blanc (Pont) / Bergues;2500386.75;1118061.09;;
40.1;22203;19186;Quai de la Poste;;;;;;sur demande;270.0;Toutes_Directions;116170.0;PCRT;2012-02-13 16:06:00;Poste / Coulouvrenière;2499778.65;1117789.03;;
78.10000000000001;52509;20630;Rue du Rhône;;;;;;sur demande;255.0;Toutes_Directions;118962.0;PCRT;2012-02-13 15:48:45;Rhône / Bel-Air;2500060.04;1117810.88;;
3158.2000000000003;159;03514;Route du Pont-BUTIN;;;;;;non;140.0;Toutes_Directions;110110.0;PERIOD;2010-04-12 10:55:35;Pont Butin;2497880.45;1115899.38;;
3158.1;158;03514;Route du Pont-BUTIN;;;;;;non;320.0;Toutes_Directions;110109.0;PERIOD;2010-04-12 10:50:13;Pont Butin;2497888.59;1115900.16;;
0.0;14218;04766;Route de Chancy;;;;;;Suspendu;100.0;Toutes_DIrections;118845.0;PCRT;2012-02-13 16:52:00;Bernex / Chaumont;2495569.96;1115013.73;;
0.0;27009;04766;Route de Chancy;;;;;;non;60.0;;115146.0;PCRT;2012-02-13 16:43:33;Chancy / Clair-Martin;2497588.07;1116007.50;;
0.0;27010;04766;Route de Chancy;;;;;;non;245.0;;117533.0;PCRT;2012-02-13 16:42:57;Chancy / Clair-Martin;2497521.74;1115990.44;;
0.0;13612;16004;Rue du Mont-Blanc;;;;;;non;130.0;Toutes_DIrections;111264.0;PCRT;2011-07-21 15:05:41;Chantepoulet / Kleberg;2500282.96;1118162.15;;
0.0;1173;11266;Quai du Général- GUISAN;;;;;;non;290.0;Toutes_DIrections;115422.0;PCRT;2011-07-21 15:01:15;Guisan / Ador;2500710.73;1117726.30;;
0.0;9008;00272;Rue des Alpes;;;;;;non;310.0;Toutes_DIrections;115043.0;PCRT;2011-07-21 15:01:52;Alpes / Mont-Blanc;2500430.07;1118235.08;;
1083.1;xvma10000b;;;;;;;;2 mois par an;10.0;Toutes_Directions;116445.0;CAR;2010-04-12 11:33:06;Meyrin83;2496749.26;1119548.49;;
2019.1000000000001;19;90689;Pont de Sous-Terre;;;;;;non;18.0;Toutes_Directions;113780.0;;2010-04-12 11:33:06;Sous-Terre;2499132.67;1117686.74;;
2019.2;20;90689;Pont de Sous-Terre;;;;;;non;198.0;Toutes_Directions;113780.0;;2010-04-12 11:33:06;Sous-Terre;2499129.65;1117695.81;;
0.0;2308;10731;Avenue de France;;;;;;non;140.0;Toutes_Directions;116110.0;PCRT;2010-04-12 10:51:37;France / Lausanne;2500492.74;1119402.92;;
0.0;2310;13617;Rue de Lausanne;;;;;;non;205.0;Toutes_Directions;117830.0;PCRT;2010-04-12 10:55:48;Lausanne / France;2500457.37;1119391.30;;
343.3;46223;17477;Chemin du Pavillon;;;;;;non;260.0;Toutes_Directions;115632.0;PCRT;2010-04-15 10:40:39;Pavillon / Ferney;2498543.06;1121571.75;;
325.2;90853;15482;Route de Meyrin;;;;;;non;110.0;Toutes_Directions;117588.0;PCRT;2010-04-12 11:08:09;Meyrin / Coquelicots;2496218.62;1119951.19;;
