ID_GM_CARREFOUR;TYPE;COMMENTAIRE;DATE_MAJ;RAYON;E;N
225057;Autres carrefours;;2008-04-18 16:22:01;;2506132.52;1123114.43
223726;Autres carrefours;;2008-04-18 16:22:01;;2505734.02;1123183.77
232608;Impasse;;2008-04-18 16:22:01;;2498631.58;1117182.85
235229;Changement voie;;2008-04-18 16:22:01;;2500252.99;1117419.87
235478;Autres carrefours;;2008-04-18 16:22:01;;2497889.23;1115685.29
235479;Autres carrefours;;2008-04-18 16:22:01;;2497881.88;1115664.41
224147;Autres carrefours;;2008-04-18 16:22:01;;2499442.57;1115970.54
225511;Autres carrefours;;2008-04-18 16:22:01;;2499711.78;1116081.17
225152;Autres carrefours;;2008-04-18 16:22:01;;2499668.46;1116926.98
225147;Autres carrefours;;2008-04-18 16:22:01;;2499746.76;1116862.44
224585;Signalisation lumineuse;;2008-04-18 16:22:01;;2500895.18;1116729.76
233469;Impasse;;2008-04-18 16:22:01;;2492183.37;1116300.10
233245;Impasse;;2008-04-18 16:22:01;;2502804.84;1117056.65
235428;Autres carrefours;;2008-04-18 16:22:01;;2492191.56;1116294.53
235430;Frontière;;2008-04-18 16:22:01;;2499498.50;1129635.71
226476;Autres carrefours;;2008-04-18 16:22:01;;2502883.62;1113770.31
223092;Autres carrefours;;2008-04-18 16:22:01;;2501801.28;1114676.89
235877;Changement voie;;2008-05-27 09:02:49;;2503743.13;1116716.06
233274;Impasse;;2008-04-18 16:22:01;;2501327.69;1125787.47
226524;Autres carrefours;;2008-04-18 16:22:01;;2492843.79;1117747.39
235482;Autres carrefours;;2008-04-18 16:22:01;;2497893.32;1115386.34
235878;Changement voie;;2008-05-27 09:02:49;;2503838.47;1115365.61
235488;Autres carrefours;;2008-04-18 16:22:01;;2500376.16;1114064.96
235659;Autres carrefours;;2008-04-18 16:22:01;;2506060.67;1122162.64
223961;Autres carrefours;;2008-06-12 09:35:57;;2504282.42;1117996.48
235663;Impasse;;2008-04-18 16:22:01;;2497263.59;1115816.46
235763;Impasse;;2008-04-18 16:22:01;;2508872.40;1121631.75
235765;Impasse;;2008-04-18 16:22:01;;2502011.42;1118149.75
235767;Changement voie;;2008-04-18 16:22:01;;2496459.07;1112177.32
235769;Autres carrefours;;2008-04-18 16:24:25.000001;;2500352.18;1117217.17
235770;Changement voie;;2008-04-18 16:22:01;;2500571.79;1117123.08
235880;Changement voie;;2008-05-27 09:02:49;;2499817.93;1118292.75
235882;Changement voie;;2008-05-27 09:02:49;;2497981.53;1118337.43
223621;Autres carrefours;;2010-04-12 08:09:41;;2499836.26;1113717.69
235886;Changement voie;;2008-05-27 09:02:49;;2497438.79;1117900.97
235888;Changement voie;;2008-05-27 09:02:49;;2505723.09;1118413.05
223867;Autres carrefours;;2008-04-22 14:22:59;;2505729.12;1118345.22
226233;Giratoire;;2016-02-18 10:01:51;15;2503002.38;1113976.23
232644;Impasse;;2010-04-14 09:36:53;;2496603.84;1119626.00
223959;Autres carrefours;;2008-06-12 09:34:19;;2504203.12;1117882.97
223963;Autres carrefours;;2008-06-12 09:39:14;;2504375.18;1118225.68
223956;Autres carrefours;;2008-06-12 09:41:01;;2504174.55;1118081.42
224021;Autres carrefours;;2008-06-12 09:43:27.000001;;2503693.03;1117789.16
224478;Autres carrefours;;2008-06-26 14:03:38.000001;;2502685.04;1115451.48
232120;Impasse;;2009-03-04 15:31:37.000001;;2499448.71;1113336.46
223001;Autres carrefours;;2010-04-14 09:37:52;;2496433.57;1119657.55
228264;Autres carrefours;;2009-03-24 09:41:02.000001;;2498828.53;1127480.46
236218;Autres carrefours;;2009-04-20 16:24:33.000001;;2486764.48;1111803.10
236220;Autres carrefours;;2009-04-20 16:24:33.000001;;2503768.81;1119946.74
236269;Changement voie;;2009-08-05 16:00:33;;2499505.83;1114946.86
236270;Changement voie;;2009-08-05 16:00:33;;2499939.04;1115064.20
232189;Impasse;;2008-09-15 08:13:33;;2487421.45;1112398.28
